YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Maxime Brugidou,1,1,Criteo,Maxime Brugidou.png,https://www.linkedin.com/in/maximebrugidou/,,,,Coming soon...,Coming soon...,,"Maxime Brugidou is VP of Engineering, Platform at Criteo, where he leads large-scale platform and infrastructure engineering teams focused on reliability, scalability, and developer productivity. With a background spanning SRE, distributed systems, and data platforms, he has spent more than 15 years helping build and scale high-performance engineering organizations. Maxime is also active in the AI and cloud-native community, regularly supporting technical meetups and knowledge sharing initiatives in Paris."
,keynote,Peter Marshall,1,1,Imply,Peter Marshall.png,https://www.linkedin.com/in/petermarshallio/,,,,Keynote: Decoupling Observability for Incident Response at Scale,"On-call incidents don’t fail because teams lack dashboards. They fail because observability systems slow down under real investigative load

As telemetry volumes grow and retention windows expand, SRE teams are being asked to run deeper, broader investigations—often under time pressure—on platforms that were designed for steady-state monitoring, not bursty incident response. Tightly coupled observability stacks bind storage, compute, and query together, forcing teams to overprovision infrastructure, limit retention, or accept degraded performance during incidents.

In this talk, we’ll explore why decoupling observability architectures is becoming essential for SRE teams operating at scale. Using a real incident investigation workflow, we’ll break down how separating data storage, compute, and interaction layers allows teams to keep fast, reliable monitoring while elastically scaling investigations when incidents occur.",,"Peter Marshall is an award-winning speaker, technology leader, and community builder with 25 years' experience in data architecture and digital transformation. As Director of Developer Relations at Imply, he leads programs that grow and engage global communities through education, support, and events. With experience across startups, enterprises, and the public sector, Peter brings technical expertise and strategic vision to help organizations leverage real-time data and observability technologies. He holds a BA in Theology and Computer Studies from the University of Birmingham  "
,confirmed,Poone Mokari,1,1,ewake,Poone Mokari.png,https://www.linkedin.com/in/pmokari/,,,,Production is a wilderness. Treat it like one.,"Production is a wilderness. The terrain shifts every minute, meaning human and agent failures are not caused by missing intelligence. They come from acting on stale context.
Discovery takes time, and in production it is often the most expensive part of the workflow.

In this talk, I show why AI SRE agents fail when they rely on runtime discovery, and what changes when they operate on live context instead of snapshots.

The short version: an AI SRE that admits uncertainty is the only kind you can safely let run.",,"Co-founder and CEO of [ewake](http://ewake.ai/), Poone Mokari builds AI SRE agents grounded in a live system map. Prior to founding ewake, she worked as a Site Reliability Engineer at companies including Criteo, where she gained hands-on experience managing large-scale production systems and incident response."
,confirmed,Amine Saboni,1,1,Pruna AI,Amine Saboni.png,https://www.linkedin.com/in/amine-saboni/,,,, Scale your GPU workloads with Karpenter and Argo Workflows,"Running ML workloads on Kubernetes can be a burden to manage, especially when the usages tend to diversify. Batch inference will involve different constraints as experimentation, evaluation or serving ML models for user-facing applications.

* How to assign the correct GPUs for each usage ?
* How to scale differently workloads with flexibility ?
* How to efficiently scale down to 0, when no GPUs are needed ?

To answer those questions, we will see in this talk how combine the standard orchestration approach of Argo Workflows with the autoscaling super powers of Karpenter, a tool developed by AWS and given back to the community. We'll dig into the difficulties of scaling GPUs and how Karpenter solves them, with a return of experience of Pruna's computing platform.
",,"MLOps Engineer working at Pruna AI, I am interested in efficient, reliable & robustly beneficial AI. My work is centered around building ML development platforms, and provide relevant tooling to build & deploy robust ML models in applications."
,confirmed,Daniel Afonso,1,1,PagerDuty,Daniel Afonso.png,https://www.linkedin.com/in/danieljcafonso,,,,Incident Response Reimagined: Accelerating Resolution with AI Agents,"It’s 3:45 AM, and you get paged. Still half asleep, you reach for your laptop. Turns out something is wrong, so you acknowledge the incident and embark on a journey to figure out what is happening, mobilize the right people, and eventually fix the issue. But what if we could make it easier? In this talk, I’ll show how AI agents can help you fast-track triage, coordinate responses, debug problems, and run fixes. To wrap up, I will show how we can go even further and move from merely reacting to incidents to proactively preventing them. In the spirit of shifting left, let’s understand how we can track future incidents our code may cause, right before we commit it!",,"Daniel Afonso is a Senior Developer Advocate at PagerDuty, SolidJS DX team member, Instructor at Egghead.io, and Author of State Management with React Query. Daniel has a full-stack background, having worked with different languages and frameworks on various projects from IoT to Fraud Detection. He is passionate about learning and teaching and has spoken at multiple conferences around the world about topics he loves. In his free time, when he's not learning new technologies or writing about them, he's probably reading comics or watching superhero movies and shows."
,confirmed,Piotr Zaniewski,1,1,vCluster,Piotr Zaniewski.png,https://www.linkedin.com/in/piotr-zaniewski/,,Piotr1215,,"Three Minutes Up, Thirty Seconds Down: Disposable GPU Clusters for AI Devs","AI developers want a GPU the way they want a kind cluster: kubectl apply and it's there, kubectl delete and it's gone, no console in between. The cloud default punishes that: provisioning latency, sticky nodes, per-tenant security setup. We give developers a kubectl context with an auto-provisioning GPU under it: a T4 or L4 in ~3 minutes, gone in ~30 seconds, zero infra to touch.

Live demo: a dev creates a GPU-template tenant cluster, applies a pod, and a node auto-provisions in GCP. The pod runs, is deleted, the node disappears 30s later. Under the hood is a four-piece contract: tenant Kubernetes for isolated RBAC and node pools; Karpenter for auto-provisioning; an idle policy (consolidateAfter 30s) collapses nodes on idle, not on cluster delete; and a tunnel keeps the experience kubectl-native, not console-native.

We close with the failure modes (Karpenter template/provider drift, NodeProvider creds silently disabled) and the GitOps boundary that keeps multi-team setups intact.",,"An active contributor to OpenSource projects on GitHub, blogger and content creator, focusing on practical, scalable solutions in cloud-native environments. DevOps and Platform Engineering practitioner and advocate. Visit: [cloudrumble.net](cloudrumble.net)"
,confirmed,Eugene Ngontang,1,1,Spitzkop,Eugene Ngontang.png,https://www.linkedin.com/in/nixmind/,,,,Your compliance tool describes the platform. It doesn't run it,"Every regulated org has the same scar: a beautiful governance tool - a CMDB, a compliance tracker, a project portal - that describes what production should look like, sitting next to a real platform that actually runs something else. Two sources of truth. Manual sync. Tickets. Drift.
The compliance team trusts the tool; the SREs trust the cluster; nobody trusts the gap between them. This talk is a field report on closing that gap. Drawing on a teardown of a large enterprise platform and the sovereign platform we're building at SPITZKOP, I'll show how to make the control plane connected to the execution plane: GitOps as the single source of truth, policy-ascode (Kyverno) as the admission backstop, schema-first config generation (CUE) shifting compliance left, and a conformity engine that turns regulatory requirements (NIS2, DORA, EUCS) into executable, attested deployment steps — not Excel rows.
You'll leave with a concrete pattern for making compliance a property of your pipeline, not a parallel universe.",,"Eugène Ngontang is Founder & CTO of SPITZKOP, where he's building ESSINGAN — a sovereign platform-engineering product for regulated and critical workloads. He's spent years operating production-critical infrastructure for large enterprises (PwC, NCR Atleos and others), with a focus on GitOps, platform engineering, confidential computing, and measurable sovereignty. He previously presented sovereign network automation (GitOps + YANG) at FRnOG-42. He works at the intersection of reliability, compliance, and cloud-native engineering."
,confirmed,Francois Le Pape,1,1,Contentful,Francois Le Pape.png,https://www.linkedin.com/in/francois-le-pape/,,,,"Ship Fast, Break Nothing: Auto-Rollback with Cloudflare workers","In this session, I’ll walk through a production rollout system that combines versioned deployments, gradual traffic ramps, error-budget-aware gates, and automatic rollback on the Cloudflare Developer Platform.
We’ll cover the hard parts: defining trustworthy signals, preventing flappy rollbacks, and handling emergency bypass paths safely.  
You’ll leave with concrete patterns to increase deploy frequency while reducing risk and MTTR.",,Senior DevOps/Software Engineer at Contentful. Working with Kubernetes and Cloudflare workers. Focus on Developer Experience and SRE.
,confirmed,Rodrigue NDE,1,1,kladriva,Rodrigue NDE.png,https://www.linkedin.com/in/rodrigue-kongne-nde/,,,,FinOps Patterns for Kubernetes in Production - From Cost Blindness to -20% ,"FinOps Patterns for Kubernetes in Production Running Kubernetes on AWS doesn't automatically mean running it efficiently. Most teams focus on stability and delivery and discover their cloud bill three months later, when the damage is done. In this talk, I share concrete lessons from optimizing EKS infrastructure costs in production: what to measure, where the waste actually hides, and which levers move the needle, without breaking anything. We'll cover: 1. Why standard cloud cost tools (Cost Explorer, Kubecost) only give you half the picture. The underestimated impact of Karpenter, instance diversification, and Spot strategy on real workloads. 2. How right-sizing Kubernetes requests saved more than any Reserved Instance commitment. 3. The FinOps discipline that stuck vs. the optimizations that quietly regressed No vendor pitch. No theoretical framework. Just patterns, numbers, and honest trade-offs from the field including a -20% reduction on a production EKS cluster. You'll leave with a checklist you can apply to your own cluster next week.",,"Rodrigue NDE is a Cloud Platform Engineer with 7 years of experience, specializing in Kubernetes, AWS infrastructure, and FinOps. He has led the design and industrialization of production-grade EKS platforms for multiple organizations, with a focus on reliability, security, and cost efficiency. His background as a Java Tech Lead before moving into Cloud Engineering gives him an unusual perspective: he builds platforms with the developer experience in mind, not just the infrastructure metrics. Recent highlights include a 20% reduction in AWS costs on an EKS production cluster, a platform SLA improvement to 99.9%. Rodrigue is currently working toward his next role as a Senior Platform Engineer, with a particular interest in FinOps, Kubernetes security, and platform self-service."
,confirmed,Brice Le Roux,1,1,OCTO Technology,Brice Le Roux.png,https://www.linkedin.com/in/brclrx/,,,,The Art of Being Sober in an Age of Gluttony,"Modern systems are built in a culture of technological excess: infinite scaling, endless tooling, growing abstraction layers, and permanent optimization.

For decades, the industry relied on Moore’s Law and continuous hardware growth. But as software complexity keeps increasing, SREs increasingly face the hidden costs of this gluttony: cognitive overload, operational fragility, rising cloud costs, operational entropy, and systems that nobody fully understands anymore.

Drawing from real-world experience in SRE, GreenOps, and FinOps initiatives, this talk explores operational sobriety as an engineering discipline. Inspired in part by the “erooM” perspective, improving systems through software efficiency rather than endless hardware expansion, we will discuss how reducing unnecessary complexity can help build systems that remain understandable, resilient, and sustainable over time.

The future of reliability may depend less on endless accumulation than on rediscovering the culture of economy, efficiency, and resilience that originally shaped engineering itself.",,"Brice Le Roux is a cloud architect, GreenOps expert, and SRE/DevOps consultant focused on sustainable and resilient information systems.

He works on reliability engineering, sustainable infrastructure, cloud governance, and operational sobriety, and trains architects and engineers on Kubernetes and eco-designed architectures."
