YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Peter Marshall,1,1,Imply,Peter Marshall.png,https://www.linkedin.com/in/petermarshallio/,,,,Keynote: Decoupled Observability - an architecture for scalable detection and investigation,"Teams are being asked to retain more data, investigate problems and incidents further back in time, and respond faster — all while controlling costs. The challenge isn't a lack of tools; it's the tightly coupled architectures.

In this session, we'll explore why decoupling the data layer from the interaction layer is critical. Using a real-world use case, we'll see how traditional approaches force teams to trade off visibility, performance, or usability at the worst possible moment.

We'll break down how a decoupled architecture allows teams to run continuous detections on recent data while elastically scaling across large historical datasets, without duplicating data or abandoning existing workflows.

The result is greater flexibility, better cost control, and faster incident response — even as data volumes and retention requirements continue to grow.",,"Peter Marshall is a technology leader and community builder with a background in developer relations, data architecture, and digital transformation. As Director of Developer Relations at Imply, he leads programs that grow and engage the global Apache Druid community through education, support, and events. With experience across startups, enterprises, and the public sector, Peter brings a blend of technical expertise and strategic vision to help organizations connect with developers and drive impact through open source."
,keynote,Dewan Ahmed,1,1,Harness,Dewan Ahmed.png,https://www.linkedin.com/in/diahmed/,,,,Keynote: Secure by Default: Building Confidence in AI-Driven Delivery,"The fastest way to break trust in DevSecOps is to automate insecurity at scale. As AI takes a central role in our pipelines, it is time to rethink what ""secure by default"" really means.

In this keynote, Dewan Ahmed will challenge the audience to look beyond vulnerability scanners and compliance gates. He will share a vision for intelligent security by design, where native intelligence within the delivery platform detects not only vulnerable code but risky delivery behavior such as misconfigured environments, suspicious artifact provenance, and drift between source and runtime.

You will walk away with a framework for balancing automation with human oversight and examples from Harness’ work on building verifiable, auditable, AI-native delivery systems. In the new world of DevSecOps, safety is not a step; it is an outcome we continuously learn to improve.",,"Dewan Ahmed is a Principal Developer Advocate at Harness and a Governing Board General Member Representative at the Continuous Delivery Foundation. He focuses on DevRel and content strategy across CI/CD, DevOps, and open source, with deep expertise in software supply chain security and developer experience."
,keynote,Matt Henderson,1,1,Phoebe,Matt Henderson.png,https://www.linkedin.com/in/matthenderson/,,,,Keynote: The Immune System for Software: Lessons from Biology,"Most reliability work today is still centred on reactive troubleshooting: diagnosing a multitude of alerts, pulling large groups into incidents, and engineers scrambling to understand what's happening. To truly change that pattern, we need systems that can predict and prevent failures before they occur. Biological immune systems offer a powerful blueprint for how software can defend and ultimately heal itself.

This talk introduces a framework for thinking about ""software immunity"", highlights the gaps in today's observability and includes some ""under the hood"" details on designing AI agents for reliability.

Innate immunity comes from built-in defences like testing, feature flags, auto-scaling, and circuit breakers — mechanisms that provide immediate, general protection. Adaptive immunity, meanwhile, emerges from AI agents that learn from new data, refine their understanding of system behaviour, and apply those lessons to predict and pre-emptively fix failures.

We'll break down the key ingredients for trustworthy AI agents in reliability and beyond: transparent reasoning rather than opaque black-box outputs; strong control mechanisms and guardrails; a governed data layer for effective data access; continuous learning from each execution cycle; and graduated autonomy — from suggestions, to human-in-the-loop actions, to fully automated remediation.",,"Matt Henderson is the co-founder and CEO of Phoebe, an AI agent platform for software reliability. Previously, he was the CEO of Stripe Europe, and led the company’s international operations across product and engineering. Earlier in his career, Matt was a product director at Amazon and Google, and co-founded the ML analytics startup Rangespan (acquired by Google). He is also an angel investor in over 100 startups."
,keynote,Tyler Hannan,1,1,ClickHouse,Tyler Hannan.png,https://www.linkedin.com/in/tylerhannan/,,,,Keynote: Do Metrics Matter?,"When I get paged, I open the metrics dashboard. That hasn’t changed. Metrics are still the fastest way to get a rough sense of whether a system is unhealthy, especially when you’re dealing with known failure modes and issues you can reasonably anticipate ahead of time. But with the increase of automated tooling and exploratory analysis, we are faced with a question...do metrics matter?",,"Tyler Hannan is Senior Director of Developer Advocacy at ClickHouse and a longtime leader in developer relations, community, and product storytelling. He specializes in translating complex technical systems into clear narratives that connect engineers, products, and business strategy."
,keynote,Birol Yildiz,1,1,ilert,Birol Yildiz.png,https://www.linkedin.com/in/birolyildiz/,,@birol_yildiz,,Keynote: When Incidents Fix Themselves: AI SRE in action,"The next evolution of incident response isn’t faster alerts, it’s autonomous resolution. Join ilert CEO Birol Yildiz as he shows how AI SRE agents now diagnose and remediate outages without waking anyone up. Learn how these systems combine observability data, deployment context, and code intelligence to restore services in minutes and hand over clean incident reports instead of 3 a.m. pages.",,"Birol Yildiz is the Co-founder and CEO of ilert, adeptly steering the company with a rare combination of technical and product expertise. His prior experience includes a significant role as Chief Product Owner for Big Data products at REWE Digital. With a strong foundation in computer science, Birol bridges the gap between developer and product strategist, constantly striving to innovate and provide customer-centric solutions at ilert."
,confirmed,Deniz Yalcin & William Ravensbergen,1,1,ING Netherland & ING Germany,Deniz Yalcin & William Ravensbergen.png,https://www.linkedin.com/in/denizyalcin1/,https://www.linkedin.com/in/william-ravensbergen/,,,Reliability starts at the source: Why Customer Data is your most underrated SRE dependency,"Reliability is often framed as an infrastructure problem, but at Banking, it begins with data. Customer data is a core SRE dependency that drives data quality, fraud prevention, knowing your customer, and user trust. When upstream data is delayed, malformed, duplicated, or semantically inconsistent, no amount of autoscaling or incident response can preserve a seamless experience.

This talk explores why customer data quality, lineage and observability must be treated as first class reliability concerns. By shifting reliability thinking left toward data consistency, validation, and monitoring at ingestion, fintech teams can reduce incident blast radius, improve MTTR, and protect customer confidence where it matters most: at the source.",,"**[Deniz Yalcin](https://www.linkedin.com/in/denizyalcin1/)** is head of Customer Data at ING Germany, leading teams responsible for customer data processes and platform integrity. With a background in SRE and IT service management, coaching, and large scale organizational change, she works at the intersection of technology, governance, and leadership.

**[William Ravensbergen](https://www.linkedin.com/in/william-ravensbergen/)** is a Developer Advocate at ING, where he focuses on building and nurturing a global SRE minded community. With a long background in DevOps, SRE, and IT operations, he brings practical experience from running large scale banking platforms into community building, advocacy, and reliability culture."
,confirmed,Adriana Villela,1,1,Dynatrace,Adriana Villela.png,https://www.linkedin.com/in/adrianavillela/,,,,Observability is a Team Sport!,"Observability may have been a newcomer few years ago, but it's safe to say that it's a pretty well-established part of our tech lives today. But as organizations embrace Observability, they run the risk of creating Yet Another Silo, in much the same way that DevOps created more silos, instead of breaking them.

Reliability can’t happen without Observability, and Observability itself must be looked at holistically. It isn't the responsibility of one single team, but instead weaves its way into multiple teams. In this talk, Adriana dives into the roles and responsibilities that Development, Quality Assurance, CI/CD, and SRE teams when it comes to contributing to the Observability story. Spoiler alert - it's not as straightforward as you might think!

She will also show how an “Observability team”, if not designed and rolled out properly, can take away an organization’s collective responsibility for Observability, and dilute the promise of Observability.",,"Adriana Villela is a Principal Developer Advocate at Dynatrace, where she focuses on cloud native technologies, observability, and helping developers build and operate reliable systems at scale. She is a CNCF Ambassador and a maintainer for the OpenTelemetry End User SIG, actively contributing to the open source ecosystem and community education.

In addition to her advocacy work, Adriana hosts the Geeking Out Podcast, where she explores technical topics and career stories with practitioners across the industry. She also writes regularly on her personal Medium blog, sharing practical insights drawn from hands-on experience. Based in Toronto, she works remotely and remains deeply engaged with global developer communities."
,confirmed,Heather Thacker,1,1,Gatling,Heather Thacker.png,https://www.linkedin.com/in/hhthacker/,,,,Choose Your Weapon: The Performance Testing Arsenal,"Your app works great on your laptop, in the dev environment. Then production hits 10x expected traffic during a marketing campaign and everything falls apart. Or maybe not, instead six months of data accumulates, causing the response times to be painfully slow. Load testing, stress testing, soak testing, and spike testing, they all sound similar, but address completely different problems, and most teams only do one, if at all.

This talk breaks down the essential types of performance testing every app and web developer should understand. Learn when to use each approach, what problems they uncover, and how to integrate them into your development workflow without drowning in complexity. We'll cover real-world scenarios where each testing type saves production systems, helping you choose the right weapon for your performance battles.

What you'll learn:
- The differences between load, stress, soak, and spike testing, and when each matters
- Which performance testing types reveal which production problems, before they happen
- How to integrate performance testing into CI/CD without slowing down development and deployments
- Practical criteria for deciding which tests your application actually needs",,Developer Advocate with a background in software engineering.
,confirmed,Tasmia Niazi,1,1,,Tasmia Niazi.png,https://www.linkedin.com/in/tasmia-niazi,,,,"From Learner to Leader: My Journey into SRE and Why Reliability Is a Culture, Not a Role","Explore how SRE is more than tools and dashboards: it is a mindset, a culture, and a way of thinking that transforms teams. Attendees will learn how adopting an SRE state of mind empowers individuals, improves engineering outcomes, and builds high-trust, resilient organisations.",,"Tasmia Niazi is a passionate and dedicated professional with a background in technology and managing projects from initiation to post implementation support. Tasmia has successfully navigated her career while pursuing higher education, mentoring and managing family life. She recently completed her Masters Apprenticeship in Software Engineering all while balancing the challenges of pregnancy raising a toddler and working. With a keen interest in innovation, Tasmia thrives in fast paced environments contributing to the tech community, speaking at Hackathons, mentoring juniors to arranging platform away days. She is a strong advocate for the empowerment of women in technology and continuously inspires those around her with resilience and passion. Mentoring, raising awareness for women in technology and being an Ambassador are the most aspiring roles Tasmia plays."
,confirmed,"Kyle Forster, Lydia Thomas, Anusha Gundala, Sravan E & Sonu Kumar Singh",1,1,RunWhen & ex-Google SRE,"Kyle Forster, Lydia Thomas, Anusha Gundala, Sravan E & Sonu Kumar Singh.png",https://www.linkedin.com/in/kyforster/,https://www.linkedin.com/in/lydiaraynethomas/,,,Demo: Let any engineer on any team handle any issue anywhere in your stack,"Production incidents and operational toil have been steadily rising for years, but the worst is ahead.  The drivers are clear - i) growing complexity of modern tech stacks, ii) shrinking ratios of SRE/DevOps/QA engineers per developer, and iii) the freight train of ultra-fast AI coding.

Before weekly releases with tens of thousands of lines of code become the new normal, SRE leaders need to think differently about how issues and incidents are handled through their software development lifecyle.

In today's session, Kyle will show the PR that broke his team's traditional SDLC, and talk about ways teams are transitioning from legacy models of SRE to modern models.  Hint: get any engineer on any team ready to handle any issue anywhere in the tech stack in any environment.  In parallel, Lydia will drop in to a production environment she has never seen before and prioritize issues, drive to root cause, file detailed tickets and resolve incidents in <30 minutes using tools built with RunWhen's AI SRE platform.",,"**[Kyle Forster](https://www.linkedin.com/in/kyforster/)** is the Founder of RunWhen, a company pioneering the use of AI for troubleshooting mission critical applications in dev, test and production environments.  Prior to RunWhen, Kyle was the Senior Director for Product Management in Google's Kubernetes team.  He is a second time founder, having previously started Big Switch Networks, a pioneer in Software Defined Networking (acquired by Arista Networks).  Kyle started his career at Cisco after doing an MBA and MS in Computer Science from Stanford University and an MSE in Electrical Engineering from Princeton University.  He currently holds six patents in wireless and software defined networking technologies lives with his wife, three children and two dogs in the greater London area where he recently settled after relocating from Silicon Valley.

**[Lydia Thomas](https://www.linkedin.com/in/lydiaraynethomas/)** is a London-based entrepreneur and technology founder. She is the founder of Smash Hit Technologies Ltd and The Keep Us Company Ltd, and previously worked at Google. Lydia is also a member of the Associates’ Committee of The Worshipful Company of International Bankers. Her work sits at the intersection of technology, business, and innovation, with a focus on building and scaling impactful companies.

**[Anusha Gundala](https://www.linkedin.com/in/anusha-g-1a768839/)** is a Senior Site Reliability Engineer at Sky and a TechWomen100 Awards 2025 winner. She specializes in cloud, Kubernetes, and observability, with a focus on improving reliability, security, and standardization across large scale distributed systems. Her work centers on Google Cloud Platform and modern monitoring stacks including Grafana, where she leads initiatives to enhance system visibility and operational performance. Prior to Sky, she held roles at iomart and Wipro, building experience across cloud infrastructure, monitoring, and operations engineering.

**[Sravan E](https://www.linkedin.com/in/sravan-e-b7935515/)** is a Solutions Architect specializing in observability, site reliability engineering, and operational resilience with over 18 years of experience. He focuses on designing and implementing systems that improve performance and ensure stability across complex environments. His work includes developing observability architectures, defining SLIs and SLOs, and leveraging tools such as Splunk ITSI, Dynatrace, Datadog, and Elastic. Sravan has held roles across organizations including Schain Technologies, dunnhumby, HSBC, Fiserv, and Accenture, delivering resilient data platforms and advancing AIOps driven automation strategies.

**[Sonu Kumar Singh](https://www.linkedin.com/in/sonu-kumar-singh-0842a22a/)** is a Cloud Engineering Specialist and Senior Site Reliability Engineer at Lloyds Banking Group with over 15 years of experience designing scalable, secure, and self healing cloud systems. He specializes in Kubernetes, Terraform, and multi cloud environments across Azure and Google Cloud Platform, with a focus on building reliable and automated infrastructure. His work emphasizes applying software engineering principles to solve operational challenges and improve system performance. Prior to Lloyds, he held roles across engineering and DevOps functions, contributing to cloud architecture, CI/CD pipelines, and distributed system resilience."
