YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Nandini Bhatt,1,1,Xurrent,Nandini Bhatt.png,https://www.linkedin.com/in/nandinibhatt/,,,,Keynote:  O11y: The math you miss,"We're drowning in data but starving for insight. At peak load, we were collecting thousands of metrics per second, yet we still missed the signals that mattered. Worse, the observability overhead itself was creating garbage-collector pressure that degraded the systems we were trying to understand. The lesson we learned the hard way: observability isn't about collecting more data—it's about understanding the math behind the data and choosing the few signals that actually predict failure.",,"Nandini Bhatt is a Site Reliability Engineer II at Xurrent with a background in DevOps, SRE, and cloud infrastructure. She has previously worked at Xurrent, PhysicsWallah, and EY, building experience across platform operations, automation, and reliability engineering. A strong advocate for open source and community-driven learning, Nandini is passionate about improving system reliability, observability, and operational excellence while actively contributing to the DevOps and SRE community."
,keynote,Uma Mukkara,1,1,Harness,Uma Mukkara.png,https://www.linkedin.com/in/uma-mukkara/,,,,Keynote: TBD,Coming soon...,,"Uma Mukkara is Head of Resilience Testing at Harness and founder of ChaosNative. He is a recognized leader in chaos engineering, resilience testing, and cloud native reliability, with deep experience building products and teams across infrastructure and DevOps. Uma is passionate about helping organizations improve system reliability through modern resilience engineering practices."
,keynote,Siva Bagavathi & Balaji Venkatesan,1,1,GuhaTek,Siva Bagavathi & Balaji Venkatesan.png,https://linkedin.com/in/kbsivacse,https://www.linkedin.com/in/balajivenkatesan2212/,kbsivacse,,Keynote: What Breaks First When Scaling to 30 Million Users? ,"Everyone talks about scaling systems to millions of users. Few talk about what actually breaks first.

As organizations grow, the first bottlenecks rarely appear where expected. Databases run out of connections before they run out of CPU. Message queues quietly become storage systems. Observability platforms generate more data than the applications they monitor. Infrastructure scales, but operations struggle to keep pace.

In this session, we present a Reliability Scaling Framework based on real-world experiences navigating the journey from one million to thirty million users. Through practical examples and lessons learned, we explore how teams can identify and eliminate reliability bottlenecks across applications, data platforms, messaging systems, Kubernetes, observability, and operational workflows.

Beyond technology, we discuss why successful scaling requires organizational coordination and why the modern SRE must act as the captain of reliability—aligning engineers, architects, product teams, and executives toward a common goal while balancing availability, performance, and cost.

Attendees will gain a repeatable framework for assessing scalability readiness, preventing common reliability pitfalls, and building systems—and organizations—that can confidently support the next order of magnitude in growth.",,"Seasoned, forward-looking professional with around two decades of experience in Site Reliability Engineering, Solution architecting, Performance engineering, Capacity planning, Chaos Engineering, product development, automation and setup SRE for large enterprise applications in various business domains. Consistently recognized as competent individual, skilled at coordinating with cross-functional teams in a fast-paced environment to steer timely completion of project with budgetary constraints."
,confirmed,Raman Tehlan & Shubham Rai,1,1,Zurich Lab & Truefoundry,Raman Tehlan & Shubham Rai.png,https://linkedin.com/in/ramantehlan/,https://www.linkedin.com/in/shubham-rai-132a25a3/,,,Unlocking Just-in-Time CPU Optimization with In-Place Pod Resize,"Kubernetes clusters are often over-provisioned at the pod level, yet some workloads still experience CPU throttling. This usually comes from static CPU requests that are sized for worst-case behavior and rarely revisited once workloads are running. Recommendation-based systems exist, but applying frequent changes in production has traditionally been difficult due to restarts and operational risk. In-place pod resize makes it possible to update CPU requests without recreating pods, and PSI (Pressure Stall Indicator) metrics provide a clearer signal of real CPU contention. Together, these enable a different approach: making small, frequent, just-in-time corrections instead of relying on long-term prediction. In this talk, we share how we built CruiseKube, a runtime CPU optimization system that continuously right-sizes pods in place and takes node context into account. We discuss the key design choices, tradeoffs, and lessons learned from running this approach in real clusters.",,"Raman Tehlan is a Cloud Native Consultant at Zurich Lab with over five years of experience building and operating distributed systems at scale. His work focuses on Kubernetes, cloud infrastructure, and developer platforms, with an emphasis on practical, production-ready solutions. He is also an active community contributor and an organizer of PyData Delhi, where he helps foster knowledge sharing around data, systems, and open-source technologies.

Shubham Rai is a Staff Software Engineer at TrueFoundry with 10 years of experience building Kubernetes and distributed systems. A contributor to KubeElasti, he focuses on reliability, cost efficiency, and DR at scale, sharing practical insights from real production systems."
,confirmed,Kaustubha Shravan,1,1,Microsoft,Kaustubha Shravan.png,https://www.linkedin.com/in/kaustubhashravan/,,,,What Happens When the Control Plane Starts Thinking?,"For decades, infrastructure has behaved predictably. Control planes scheduled workloads, routed traffic, enforced policies, and executed deterministic logic engineers could reason about, debug, and trust. That assumption is beginning to change. As AI systems become embedded inside operational tooling, automation platforms, deployment workflows, and decision-making pipelines, infrastructure is slowly shifting from deterministic behavior toward probabilistic behavior. Modern systems can now generate actions instead of simply executing predefined logic. They can interpret intent, make recommendations, trigger workflows, and increasingly operate with partial autonomy. This introduces an entirely new class of reliability challenges. In this talk, we explore how AI-driven systems break many traditional assumptions of Site Reliability Engineering. Unlike conventional distributed systems, AI systems can fail silently while infrastructure metrics remain healthy. Outputs may vary between identical requests. Hallucinations, semantic drift, retrieval failures, and probabilistic decision-making create operational risks that existing observability practices were never designed to detect. This beginner-friendly session explores: * Why AI systems fail differently from traditional systems * The operational risks of probabilistic infrastructure * Hallucinations, semantic degradation, and silent failures * Why traditional monitoring is insufficient for AI-native systems * Emerging patterns for AI observability and reliability * What the future of SRE may look like in increasingly autonomous environments This talk is designed for SREs, platform engineers, DevOps practitioners, and cloud engineers interested in the future intersection of reliability engineering, AI systems, and autonomous infrastructure.",,"Kaustubha V is a Solution Architect at Microsoft in the Silicon Cloud organization, where she works on scalable cloud platforms, AI-driven systems, automation frameworks, and developer productivity solutions. Her work focuses on building reliable infrastructure and intelligent systems for large-scale engineering workloads across Azure and multi-cloud environments. At Microsoft, she designs solutions that use machine learning to optimize compute resources such as memory, runtime, and CPU requirements. She has contributed to production-grade ML pipelines, telemetry platforms, benchmarking frameworks, and cloud-native automation services that improve operational efficiency and simplify engineering workflows. Kaustubha has strong experience in Azure, AWS, Google Cloud, Kubernetes, distributed systems, and secure cloud deployments. She holds multiple cloud and AI certifications and has earned the Kubestronaut distinction from the Cloud Native Computing Foundation. Beyond her engineering role, Kaustubha is active in AI research and technology communities. Her research interests include generative AI, machine unlearning, responsible AI, and bias mitigation in machine learning systems. She has authored research papers accepted at international workshops and conferences, including NeurIPS,ICCV, GHC ICLR, GHCI, IEEE and leading data science venues. She is also passionate about mentoring and community impact. Through initiatives such as Women Techmakers and Microsoft’s Code Without Barriers, she supports students and early-career professionals in learning cloud computing, AI, and software engineering."
,confirmed,Faizana Samreen,1,1,Pearson,Faizana Samreen.png,https://www.linkedin.com/in/faizana-samreen-32941397/,,,,From Monitoring to AI: The Evolution of Observability,"As digital systems become increasingly complex, traditional monitoring approaches are no longer sufficient to ensure reliability, performance, and user satisfaction. Monitoring began as a reactive practice focused on tracking predefined metrics, logs, and alerts to identify known issues. While effective for simpler environments, modern cloud-native architectures, microservices, distributed systems, and hybrid infrastructures have introduced unprecedented levels of scale and complexity. Observability emerged as the next evolution, enabling organizations to understand the internal state of systems through telemetry data such as metrics, logs, and traces. Unlike monitoring, observability provides deeper insights into unknown failures, dependencies, and performance bottlenecks, empowering teams to troubleshoot proactively and improve operational resilience. Today, Artificial Intelligence is transforming observability once again. AI-powered observability platforms leverage machine learning, predictive analytics, anomaly detection, and automated root cause analysis to process vast amounts of telemetry data in real time. These capabilities reduce alert fatigue, accelerate incident resolution, and enable predictive operations by identifying issues before they impact users. This evolution from monitoring to observability and now AI-driven observability represents a fundamental shift from reactive system management to intelligent, autonomous operations. Organizations that embrace AI-powered observability gain enhanced visibility, operational efficiency, and the ability to proactively manage increasingly dynamic digital ecosystems, paving the way for the future of self-healing and autonomous IT environments.",,"Leader with 18+ years of experience driving large-scale storage and cloud infrastructure initiatives for enterprise platforms. Skilled in end-to-end program execution (requirements, milestones, dependencies, risks, releases) across engineering, product, support, and operations to deliver reliable outcomes.

Deep domain expertise in block storage, enterprise datacentres, and hybrid cloud (AWS, GCP). Partner effectively with engineering and product teams to define success metrics (SLO/SLA), unblock delivery issues, communicate trade-offs to stakeholders, and improve reliability and delivery predictability across multiple concurrent programs."
,confirmed,Sooraj Sanker,1,1,MemexAI.Space,Sooraj Sanker.png,https://www.linkedin.com/in/soorajsanker/,,,,When Agents Remember Wrong: Failure Modes in Production Memory,"AI agents are starting to behave less like stateless chatbots and more like production systems: they call tools, mutate state, personalize behavior, and return to the same user or workflow over time. That creates a new reliability problem. When an agent remembers the wrong thing, the failure is subtle: future behavior changes, the prompt still looks reasonable, and the team may not know which prior read or write caused the issue. This beginner-friendly talk looks at agent memory from an SRE lens. We will walk through common failure modes such as stale memory, accidental overwrites, unbounded personalization, hidden prompt state, missing rollback, and poor auditability. Then we will discuss practical controls: explicit memory tools, scoped user/shared memory, revision history, access logs, safe write boundaries, and simple operational checks. I will use MemexAI, an open-source Postgres-backed memory layer for agents, as the demo system, but the focus is on reliability patterns teams can apply to any agent stack. 

Attendees will learn: 
- How agent memory can fail in production and why these failures are hard to debug
- A practical checklist for making agent memory inspectable, reversible, and observable
- How to think about agent memory as production state rather than prompt text",,"Sooraj Sanker is a Bengaluru-based fullstack and AI engineer, and the founder of MemexAI, an open-source Postgres-backed memory layer for long-horizon AI agents. He spent roughly six years at Hasura and PromptQL, where he worked on conversational analytics, AI agent interfaces, tool-based workflows, artifact-aware chat, and state management for distributed agent execution. His work sits at the intersection of agent infrastructure, context engineering, data UX, and production reliability."
,confirmed,Bishwajeet Dey,1,1,Oracle,Bishwajeet Dey.png,https://www.linkedin.com/in/bishwajeet-dey-93a181119/,,,,Autoscaling Kubernetes Workloads: From CPU to Real Demand,"CPU utilization is often the starting point for Kubernetes autoscaling, but production workloads rarely scale based on CPU alone. User traffic, request concurrency, queue depth, connection counts, and infrastructure provisioning delays can all influence application performance long before resource utilization becomes a concern.
In this session, we'll explore how autoscaling behaves in real-world Kubernetes environments and examine the interaction between Horizontal Pod Autoscalers (HPA), Cluster Autoscaler, and AWS Auto Scaling Groups. Using practical demonstrations and load-testing scenarios, we'll analyze traffic spikes, scaling delays, node provisioning bottlenecks, readiness checks, and common failure modes that impact system reliability.

Attendees will learn how to evaluate scaling signals, understand the trade-offs between different autoscaling approaches, and design systems that remain responsive during periods of rapid demand growth while maintaining operational efficiency.",,"Bishwajeet Dey is a Principal Engineer at Oracle specializing in cloud infrastructure, observability, automation, and Site Reliability Engineering. He is passionate about building and operating scalable distributed systems and frequently experiments with Kubernetes, AWS, OpenTelemetry, and platform engineering technologies. His recent work focuses on cloud-native observability and autoscaling architectures, with an emphasis on reliability, scalability, and operational excellence."
,confirmed,Soham Chakraborty & Bikram Debnath,1,1,Sematext & IBM,Soham Chakraborty & Bikram Debnath.png,https://www.linkedin.com/in/soham-chakraborty-31136514/,https://www.linkedin.com/in/debnathbikram/,,,Choosing the right database: Why ClickHouse has become the standard for storing observability data,"Observability data is hostile to general-purpose databases. Signals share a common profile: high write throughput, massive cardinality, time-series access patterns, and queries that scan billions of rows expecting sub-second answers. Most databases buckle under this combination. ClickHouse doesn't — but understanding why requires going deeper. In this session, we'll walk through the technical fundamentals that make ClickHouse uniquely suited for observability workloads: columnar storage and vectorised execution, the MergeTree family and TTL-based tiering, sparse indexing for time-range scans, and native ZSTD compression that routinely achieves 10–20× ratios on telemetry data. We will briefly touch the operational aspects of ClickHouse like shard topology and Replication. At the end of the session, the audience will leave with the takeaway of how to build and operate storage backend for modern observability data at scale.",,"Soham Chakraborty is a senior devops engineer at Sematext. He has spoken at conferences like Config Management Camp, DevOpsDays, SREDay, KCD among others. He also helps to organize local meetups and events and have previously worked as an organizer of AWS Community Day, Global Azure Kolkata among others
Bikram Debnath is an Advisory Software Engineer at IBM Labs, 3× Patent Holder, and innovator in telemetry and distributed systems. Passionate about Observability, APM, IoT, and Automotive solutions. Skilled in Microservices, Kubernetes, Java, Kafka, and modern data stacks."
,confirmed,Jones Zachariah Noel N,1,1,New Relic,Jones Zachariah Noel N.png,https://www.linkedin.com/in/goabiaryan/,,,,Beyond the Hype: Building a Self-Healing Pipeline with Agentic AI,"Traditional automated remediation (if-this-then-that) is brittle. It fails when faced with the ""unknown-unknowns"" of distributed systems. When a production incident occurs, the cognitive load on the on-call engineer to parse logs, traces, and metrics is the primary bottleneck for MTTR (Mean Time to Resolution). But with the rise of Agentic AI—LLMs that don't just ""chat"" but actually execute tools—the dream of a truly self-healing infrastructure is finally within reach. This session moves past the marketing slides to demonstrate how to build an autonomous remediation pipeline that thinks like an SRE. We will explore the architecture of an0 Agentic Observability Loop. Unlike static scripts, an AI Agent can: Observe: Interface with AI Agents to identify the root cause. Reason: Cross-reference telemetry with recent GitHub deployments and runbooks. Act: Execute safe, scoped operations—like rolling back a canary, scaling a K8s deployment, or flushing a cache—using verified toolsets.",,"Jones is a seasoned developer turned architect who currently at New Relic being an observability advocate working as Senior Developer Relations Engineer and also focuses on infrastructure and development on cloud platforms like AWS and well into the Serverless ecosystem. Jones is also recognised as AWS Serverless Hero who is enabling the community with latest happenings in the Serverless space with his newsletter, blogs and podcast. Along with this, Jones also regularly shares the best of cloud + observability at multiple global forums and conferences."
