YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Ajuna Kyaruzi,1,1,DataDog,Ajuna Kyaruzi.png,https://www.linkedin.com/in/ajuna/,,,,Coming soon...,Coming soon...,,
,confirmed,Heather Thacker,1,1,Gatling,Heather Thacker.png,https://www.linkedin.com/in/hhthacker/,,,,Choose Your Weapon: The Performance Testing Arsenal,"Your app works great on your laptop, in the dev environment. Then production hits 10x expected traffic during a marketing campaign and everything falls apart. Or maybe not, instead six months of data accumulates, causing the response times to be painfully slow. Load testing, stress testing, soak testing, and spike testing, they all sound similar, but address completely different problems, and most teams only do one, if at all.

This talk breaks down the essential types of performance testing every app and web developer should understand. Learn when to use each approach, what problems they uncover, and how to integrate them into your development workflow without drowning in complexity. We'll cover real-world scenarios where each testing type saves production systems, helping you choose the right weapon for your performance battles.

What you'll learn:
- The differences between load, stress, soak, and spike testing, and when each matters
- Which performance testing types reveal which production problems, before they happen
- How to integrate performance testing into CI/CD without slowing down development and deployments
- Practical criteria for deciding which tests your application actually needs",,Developer Advocate with a background in software engineering.
,confirmed,Shreyas Iyer,1,1,Antimetal,Shreyas Iyer.png,https://www.linkedin.com/in/shreyasiyer30/,,,,Coming soon...,Coming soon...,,"Shreyas Iyer is the Co-Founder and CTO of Antimetal, based in New York. He loves building developer tools and infrastructure products, with a strong focus on engineering, systems, and startups."
,confirmed,Willem Pienaar,1,1,Cleric,Willem Pienaar.png,https://www.linkedin.com/in/willempienaar/,,,,"Perfect Reasoning, Wrong Answer","RLHF rewards confident, complete answers. Production incident investigation requires the opposite: withholding judgment, maintaining competing hypotheses, and seeking disconfirming evidence. The training incentive points directly away from the task. At Cleric, we built an AI agent that investigates production incidents. When a cascading failure produces dozens of correlated anomalies, the agent latches onto the loudest signal and builds a coherent narrative around it. The reasoning is sound. The answer is wrong. We taxonomized our agent's production failures and found that premature convergence (the agent finding a plausible answer and stopping) is one of the most common failure modes. Red herrings in production aren't random noise. They're symptoms that look like causes: a downstream service timing out because an upstream database is slow. The timeout is the loudest signal. The database is the root cause. This talk covers the architectural patterns we use to counteract it: forcing multiple competing hypotheses before commitment, requiring evidence that distinguishes between hypotheses rather than confirms the leading one, and a devil's advocate layer that argues against the top hypothesis. We also cover causal inference techniques that make the problem tractable, cascading failures propagate with measurable latency through dependency graphs, and dozens of anomalies collapse into a short causal chain when you follow timestamps instead of severity.",,"Willem Pienaar is the Co-Founder and CTO of Cleric, where he builds autonomous AI agents that operate inside production infrastructure. He created Feast, the widely adopted open source feature store powering ML systems at companies including Cloudflare, Discord, Robinhood, Salesforce, and Shopify. Before founding Cleric, Willem led open source engineering at Tecton and built the ML platform team at Gojek, one of Southeast Asia's largest ride-hailing companies. He holds an MS in Computer Science from Georgia Tech."
,confirmed,Josh Lee,1,1,Altinity,Josh Lee.png,https://www.linkedin.com/in/joshuamlee/,,,,OpenTelemetry: Playtime Is Over,"So you finally got your organization to invest in OpenTelemetry. You carefully evaluated observability backends and picked the perfect one. Everything is awesome. Then twelve months later, your costs have skyrocketed and you can’t explain why. What happened? This talk examines how to emit meaningful telemetry while keeping costs under control, by exploring the following: - What to actually instrument - Which metrics to focus on - Pipeline efficiency with OTel Arrow Applying sampling, filtering, and intentional instrumentation to cut down on noise Schema management and validation with tools like Weaver We’ll review the ingredients of a mature observability implementation with OpenTelemetry: one that grows with you instead of overwhelming you. You’ll learn how to apply cost-effective techniques to achieve meaningful observability. Speaker Notes (visible to organizers only) As more organizations embrace OpenTelemetry and mature their Observability practice, we find ourselves coming out of that Observability and OpenTelemetry ""honeymoon period"". We've gone from, “We’re using OpenTelemetry, therefore we have Observability” to ""How do we actually make this work for us?"" This talk will equip organizations to build a sustainable and long-lasting observability practice built on OpenTelemetry.",,"Josh Lee is an Open Source Advocate at Altinity, focused on ClickHouse, Kubernetes, and OpenTelemetry. With more than 20 years of software engineering experience, he has worked across developer advocacy, product management, observability, and full stack development. Josh is also an organizer of the Open Source Analytics Conference and a frequent speaker in the cloud native and observability community."
,confirmed,Ian Miller,1,1,Seismic,Ian Miller.png,https://www.linkedin.com/in/irmiller22/,,,,Shifting Left - Evolution of the Software Development Life Cycle,"Over the past decade, four trends in enterprise software have reduced the need for large, specialized teams and placed operational capabilities directly in the hands of individual engineers: the shift from monoliths to micro-services, Kubernetes, Site Reliability Engineering, and AI-assisted development. Each trend follows the same pattern. What once required a dedicated specialist or team became a tool or practice that any engineer could own. AI-assisted development accelerates this pattern most dramatically, compressing capabilities previously owned by specialized teams directly into the development workflow. Think about QE and E2E test generation and maintenance, security analysis, error budget analysis, and performance testing - these capabilities historically required large amounts of human and technical capital to execute properly. As AI agents begin to handle increasingly critical aspects of engineering, the trajectory is clear: the agentic software development lifecycle is one where specialized expertise shifts left, resulting in each individual engineer becoming the focal point of shipping products.",,"Ian Miller is an Engineering Manager on the Site Reliability Engineering team at Seismic, where he leads multi-cloud infrastructure and reliability initiatives. His career spans renewable energy, software education, and engineering roles at several technology companies."
,confirmed,Edward Rodriguez,1,1,FUSSMOBILE,Edward Rodriguez.png,https://www.linkedin.com/in/edward-r-271419b6/,,,,Kubernetes at the Edge: SRE Lessons from Disconnected Clusters,"Most Kubernetes reliability discussions assume stable cloud networking, elastic infrastructure, and always-available control planes. But the real operational challenge starts when Kubernetes has to run closer to the edge: in constrained, bandwidth-limited, intermittently connected, or partially air-gapped environments where standard cloud assumptions no longer hold.

This talk shares practical SRE lessons from operating managed Kubernetes environments across edge and hybrid infrastructure using technologies such as GKE Enterprise, EKS Anywhere, Bottlerocket OS, GitOps workflows, observability tooling, and production-grade operational runbooks. I will cover what changes when clusters are no longer “just in the cloud”: upgrade planning, image and artifact distribution, node OS lifecycle, observability under constrained bandwidth, incident response, storage behavior, and the tradeoffs between automation and safe human control.

The session is intended to be candid and technical, focused on lessons learned rather than theory. Attendees will walk away with a practical mental model for designing and operating Kubernetes platforms in environments where connectivity is imperfect, upgrades require choreography, observability must be selective, and reliability depends as much on operational discipline as it does on tooling.",,"Edward Rodriguez is the founder of FUSSMOBILE, a Kubernetes and cloud managed services provider focused on production-grade platform operations, SRE practices, and hybrid infrastructure. He and his team work with enterprise Kubernetes environments across cloud and edge deployments, including EKS, GKE Enterprise, Rancher, EKS Anywhere, Container based OS, GitOps, observability, and operational automation. His work focuses on helping organizations run reliable Kubernetes platforms in complex real-world environments where availability, upgrade safety, and operational discipline matter.

"
,confirmed,Paul Caplan,1,1,Teladoc Health,Paul Caplan.png,https://www.linkedin.com/in/pacaplan,,,,Agent Harnesses: From Slot Machines to Safety Nets,"An agent is made up of just two parts: the LLM and the harness. But what exactly is a harness? Is it the core “ReAct loop,” tool interface, and context management? Or the instructions, memory layer, skills, and context that you provide? Spoiler alert: the answer is “yes.”

This talk is for anyone who wants more out of their agents, whether you're building agentic applications, using coding agents like Claude Code or Codex, or all of the above. More predictability and reliability. Higher quality output. How to be the engineer in the loop, not the agent babysitter.

As many in the industry move toward “thin” harnesses, this talk argues for a strong “outer” harness: a coordination and control layer outside the core agent itself. Let the model reason and judge. Let the harness make the work repeatable, observable, and safe.",,"Paul Caplan is a Principal Engineer on the Developer Experience team at Teladoc Health, where he builds SDLC agents and helps drive adoption of AI tooling across the engineering organization. By night, he is building Codagent, an open-source harness toolkit for AI coding agents, and writing the “Agents, Harnessed” newsletter."
,confirmed,Dwayne McDaniel,1,1,GitGuardian,Dwayne McDaniel.png,https://www.linkedin.com/in/dwaynemcdaniel,,,,From Pets To Cattle To Agents: Evolving Identity And Security For Workloads,"“Treat servers like cattle, not pets” captured one of the biggest shifts in how we run infrastructure. Going from servers we named with masking tape on the case to infrastructure-as-code to deploy thousands of processes changed the mental model around authentication and authorization. Now, AI agents are forcing another mental shift, as we anthropomorphize these nondeterministic autonomous processes. Many people in the industry are now contemplating how we should handle delegation, security, and identity for these agentic systems. We will look to answer why human and non-human identity management diverged and what that means to various parts of our organizations. This talk will look at the state of authentication and authorization across services today and how we got here. The audience will walk away with a much better sense of where we are headed with machine-to-machine authentication, covering: - SPIFFE/SPIRE - WIMSE and Workload Identity Tokens (WIT) - Security Token Services (STS) - Federated Identities on Cloud Providers",,"Dwayne McDaniel is a Principal Developer Advocate who has been on a mission to ""help people figure stuff out"" for over a decade. At GitGuardian, he specializes in secrets security and non-human identity governance across cloud and DevOps environments. A frequent speaker at events like DevOpsDays and BSides, he helps security and engineering teams better understand complex issues."
,confirmed,Zachary Gruenberg,1,1,Palo Alto Networks,Zachary Gruenberg.png,https://www.linkedin.com/in/zag23,,,,Who Watches the AI Agents? SRE for Non-Human Identity at Scale,"AI agents (MCP servers, LangChain tools, autonomous coding assistants) are becoming production workloads that SREs own, but nobody’s treating their identities, secrets, or privilege escalation paths with the same rigor as human operators. Walk through real patterns: Conjur-brokered credentials for AI agents, JIT privilege grants scoped to agent tasks, and what an incident looks like when an agent’s session token gets over-permissioned.",,"Zach is an AI Subject Matter Expert at Palo Alto via CyberArk, where he works at the intersection of identity security and site reliability — focusing on non-human identity governance, AI agent privilege controls, and secrets management for cloud-native workloads. Day-to-day, he builds secure credential brokering for AI agents, integrates machine identity into Kubernetes platforms using SPIFFE and Conjur, and helps organizations treat identity as a reliability problem, not just a security checkbox."
