YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.
In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.
You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,confirmed,Ralph Meijer,1,1,Netdata,Ralph Meijer.png,https://www.linkedin.com/in/ralphm/,,,,Your Dashboards Are Lying to You (And How to Make Them Tell the Truth),"We’ve all been there. It’s 3 a.m., an alert just fired, and you’re staring at a dashboard. The P99 latency is spiking, but the average looks fine. The CPU is high, but the load average is normal. What’s actually going on? The hard truth is that most of our dashboards are subtle liars. They lie by averaging percentiles, hiding the real user pain. They lie with poorly chosen time windows that miss the crucial spike. They lie because we're forced to guess: is this a counter or a gauge? Can I sum this? Is a line graph even the right way to look at this? We expect every engineer on our team to also be a part-time statistician, and at 3 a.m., that’s a recipe for disaster. In this talk, I'll share stories of how misleading dashboards have sent teams down the wrong rabbit hole during critical incidents. We'll dissect the common lies and half-truths our monitoring tells us every day. Then, we'll talk about the alternative: building ""opinionated"" observability. It's about baking our expertise and best practices directly into our tools, so the right chart appears by default, the alert already has context, and the system guides you to the right questions. This isn't just about making prettier graphs. It's about giving back our most valuable resource time, and letting engineers get back to being engineers, not full-time data analysts. What you'll get from this talk: How to spot the 3 most common ways your dashboards are probably lying to you. A simple mental model for choosing the right visualization for the job (and knowing when a line graph is a terrible choice). Practical ways to start baking your team's expertise and ""tribal knowledge"" into your monitoring with smart defaults. How to argue for, or build, ""opinionated"" tools that stop wasting your team's time and lead to faster, more accurate incident response.",,"Ralph Meijer is a Software Engineer and technical leader with over 20 years of experience building scalable distributed systems, real-time communications platforms, event-driven architectures, and observability solutions. Having served in technical leadership roles across both fast-paced startups and global multinationals, he specializes in connecting complex systems and bridging the gap between engineering teams and cross-functional partners in product, design, and legal.
Ralph balances security, reliability, privacy, performance, and maintainability across every stage of system design. Deeply committed to open standards and collaborative engineering, he actively contributes to Open Source communities and serves as Chair of the XMPP Standards Foundation."
,confirmed,Costa Tsaousis,1,1,Netdata,Costa Tsaousis.png,https://www.linkedin.com/in/costatsaousis/,,,,The Death of the Dashboard,"Dashboards were invented for a world without AI. They encode assumptions about human cognition, scanning, pattern recognition, correlation, that AI now handles better. This contrarian talk argues that the future of operational observability isn't better dashboards, but AI agents that render dashboards obsolete for the decisions that matter. We'll examine: The dashboard's original sin: Assumptions that worked for small systems but fail at scale What AI-native observability actually looks like: Concrete examples from production systems The transition path: Pragmatic stages from AI augmentation to dashboard sunset The human role in AI-native operations: Why this isn't about replacing humans Based on three years of building AI observability systems, including conversational interfaces that replace manual investigation and ML anomaly detection achieving 10⁻³⁶ false positive rates, this talk challenges you to reconsider whether dashboards are helping or hindering your operational excellence.",,"Costa Tsaousis is the Founder and CEO of Netdata. Since 1995, Costa has been actively working on internet-related startups. He has been a co-founder and C-level executive of many successful projects, including Internet Service Providers, Cloud Hosting Providers, and Fintech startups. With a passion for innovation and open-source, he now leads Netdata, a monitoring solution aiming to simplify and modernize infrastructure observability for all of us."
,confirmed,Roman Gorge,1,1,Andersen Lab,Roman Gorge.png,https://www.linkedin.com/in/romangorge/,,,,AI-Assisted Operations for Platform Teams,"during this session we will show Self-Service DevOps Assistant (SDA). SDA is a cloud-agnostic Al assistant built for DevOps, SRE, and platform engineering teams. It connects your cloud infrastructure, CI/CD pipelines, issue trackers, code repositories, and knowledge base into a single interface - and answers engineering questions in natural language, based on what is actually happening in your environment right now",,"In my current role at Andersen, I am responsible for partnership with major Cloud Services Providers and Neo-cloud to build products and solutions at the intersection of AI, Data and Cloud technologies"
,confirmed,Leo Visser,1,1,OGD ICT-diensten,Leo Visser.png,https://www.linkedin.com/in/leo-visser-4894a8227/,,,,"No 0-day required, just target the AI coding assistant!","Do you trust your AI coding assistant? What if I told you that attackers have found ways to manipulate it and attack your code? With everyone now using AI coding assistants it’s time to look at the risks! During this talk I’ll show you several new techniques attackers are already using. This will range from hidden messages (ASCII smuggling) to abusing mistyping and characters that look the same (typosquatting). I will also show how an LLM can make mistakes when generating code (hallucinations). Did you know that a smart attacker can abuse this too? When you join this talk, you’ll learn how to spot hidden text in your instruction file and prompts. I will also explain how to set up a trusted dependency repository to prevent the malicious code from entering your production environment!",,"Active in the IT industry since 2012, Leo Visser is a Subject Matter Expert for Azure and AI Foundry at OGD. He advises organizations on AI, automation, and cloud architecture, combining tools like PowerShell, Power Platform, Azure Logic Apps, and native Azure services. His work strongly focuses on security, sustainability, and long-term value. Leo is a Microsoft PowerShell MVP."
,confirmed,Daniel Afonso,1,1,PagerDuty,Daniel Afonso.png,https://www.linkedin.com/in/danieljcafonso,,,,Plan for Unplanned Work: Game Days with Chaos Engineering,"How do you plan for unplanned incidents? You practice with Chaos Engineering. Strong incident response doesn’t just happen, you have to build the skills and train your team. Practicing for major incidents gives your team insight into how your applications will behave when something goes wrong as well as how the team will interact to solve problems. Combining your Incident Response practices with Chaos Engineering roots your response practice in real-world scenarios, helping your team build confidence.",,"Daniel Afonso is a Senior Developer Advocate at PagerDuty, SolidJS DX team member, Instructor at Egghead.io, and Author of State Management with React Query. Daniel has a full-stack background, having worked with different languages and frameworks on various projects from IoT to Fraud Detection. He is passionate about learning and teaching and has spoken at multiple conferences around the world about topics he loves. In his free time, when he's not learning new technologies or writing about them, he's probably reading comics or watching superhero movies and shows."
,confirmed,Marcos Novelli Harispe,1,1,LoopStudio,Marcos Novelli Harispe.png,https://www.linkedin.com/in/marcos-novelli-harispe-a6339a129/,,,,The Cost of Ephemerality: FinOps Trade-offs for Ephemeral Environments,"Ephemeral Environments (EEs) replace long-lived shared environments with
on-demand, isolated infrastructure. They improve reliability and developer velocity,
but they also fundamentally change how infrastructure costs behave.
If every pull request spins up its own environment, costs can quickly become
unpredictable. What used to be a fixed, always-on expense turns into a dynamic
system driven by engineering activity.
In this talk, we explore the FinOps implications of adopting Ephemeral Environments
from an SRE perspective. Instead of focusing on specific tools or optimizations, we’ll
examine how teams rethink cost control when infrastructure becomes short-lived and
event-driven.
We’ll discuss the trade-offs between environment fidelity and cost, how
lifecycle-driven infrastructure changes spending patterns, and how reducing shared
environment failures can offset infrastructure growth.
This session is about understanding the cost model behind Ephemeral
Environments, and how to adopt them without losing financial control.",,"Marcos Novelli Harispe is a Fullstack Engineer and ORT University Lecturer focused on scalable AWS cloud systems. He specializes in event-driven architectures, Data Lakes, and infrastructure as code (Terraform), with extensive experience migrating production microservices to serverless. Equal parts hands-on engineer and educator, Marcos is passionate about reliability, observability, and mentoring the next generation of tech talent."
,confirmed,Teresa Lopes,1,1,Adyen,Teresa Lopes.png,https://www.linkedin.com/in/teresa-lopes-774bb55a/,,,,Operational hazards of managing PostgreSQL DBs over 100TB,"Picture this: you start a new role, eager to learn and contribute with your ideas! Your next task is to get familiar with the database setup, and then you start encountering these massive PostgreSQL databases — 100TB, 200TB, 300TB... And you start questioning yourself: how do you backup (and restore) a +100TB database? And how about HA? Performance? Vacuum? It should work the same way as for a 100GB database, right? Well, maybe not exactly. Blog posts and best practice guides make PostgreSQL seem straightforward—until you push it to its limits. At extreme scale, you will find yourself questioning the most fundamental assumptions about how PostgreSQL works. Over the last years, my team at Adyen has been exploring the boundaries of what PostgreSQL can do, and today I will share our findings with you (at least the ones I can!).",,"Teresa has worked with databases for almost 10 years. After several years as an Oracle DBA, she transitioned to PostgreSQL and never looked back! Extensibility and the Community are the two main aspects she finds fascinating about PostgreSQL. Teresa is also part of the PGDay Lowlands organization. Teresa started her career far away from databases, as a Civil Engineer. So, if you've always wanted to know how tunnels and bridges are built, just ask! In her free time, Teresa enjoys spending time outdoors (mainly admiring rocks), hiking, and cooking."
,confirmed,Bajric Sanel,1,1,VendoQ,Bajric Sanel.png,https://www.linkedin.com/in/bsanel,,,,"Who Authorizes the Agent? Non-Human Identity, Trust Boundaries and Failure Containment in Autonomous Production Operations","AI agents are moving from advisory copilots to operational actors capable of calling APIs, changing infrastructure, triggering workflows and making decisions across production environments. Once that happens, the central reliability question is no longer simply whether the model produces a good answer, but who authorized the agent to act, under which identity, with what scope, and how that authority can be observed, constrained and revoked.
This session examines the production architecture required for autonomous operations: non-human identity lifecycle and explicit ownership, delegated authorization and least privilege across tools and services, trust boundaries outside the model layer, auditable action trails, human escalation paths, deterministic safety gates and circuit breakers.
We will also look at failure containment: what happens when an agent performs a technically valid action that is operationally wrong, and how SRE teams can limit blast radius before autonomy becomes systemic risk.
The goal is a practical, product-independent framework for increasing useful autonomy without allowing operational, security and economic risk to increase at the same rate.",,"Bajric Sanel, Ph.D. is an economist, technologist and senior software and systems engineer with more than 20 years of hands-on experience across software architecture, production infrastructure, AI, cloud/DevOps, cybersecurity, IoT and complex systems.
His work focuses on the intersection of production AI, distributed systems, operational reliability, security and technology economics - particularly what happens when autonomous systems move from experimentation into real production environments. He leads technology and delivery across Bright Moon Digital, Studio387 and VendoQ, combining engineering practice with research in economics and technical sciences."
,confirmed,Gergely Daroczi,1,1,Spare Cores,Gergely Daroczi.png,https://www.linkedin.com/in/daroczig,,,,Data-Driven Instance Selection,"Choosing a cloud instance type for a task is still largely a heuristic exercise. While public pricing and hardware specifications are available, they are fragmented, inconsistently structured, and challenging to compare across (or even within) cloud providers -- especially once real workload performance is taken into account. In this talk, we present Spare Cores Navigator, a Python-queryable and open-source benchmark dataset that covers thousands of cloud server types from multiple vendors, with standardized performance and cost-efficiency metrics. We demonstrate how instance selection can be expressed as a simple data query, e.g. filtering by workload characteristics, hardware or compliance constraints, and budget, then ranking candidates by price-performance.",,"Gergely Daroczi, PhD, has been a passionate open-source package developer for two decades. With over 15 years in the fintech, adtech, healthtech, and other SaaS industries, he has expertise in data science and engineering, as well as cloud infrastructure, with a focus on building scalable data platforms. Gergely maintains a dozen open-source R and Python projects and organizes a tech meetup with 1,800 members in Hungary -- along with other open-source and data conferences."
