YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Joao Freitas,1,1,PagerDuty,Joao Freitas.png,https://www.linkedin.com/in/jdcfreitas/,,,,"Introduction, meet & greet",,,"João Freitas is General Manager and Engineering Lead for AI at Pager Duty. João leads PagerDuty AI initiatives and he is the main representative of the Lisbon office, being responsible for its growth, expansion, and culture. With about 20 years of experience in Software Development, Machine Learning, and as a People Manager, he was previously CTO at a startup in the area of Artificial Intelligence and has taken several roles at Microsoft in the areas of Speech Technologies and Data Engineering. João also holds a PhD in the areas of speech technology and human-computer interaction, filed several patents, and published over 40 articles in peer-reviewed international conferences and journals. He is also a regular speaker at AI conferences and the author and co-author of book chapters and one book."
,keynote,Ralph Bird,1,1,PagerDuty,Ralph Bird.png,https://www.linkedin.com/in/ralphbird/,,,,"AI Coded It, AI Shipped It, Who Owns It? The Future of SREs in Agentic Operations","As AI agents increasingly generate and deploy code into production, the traditional DevOps mantra ""Code it. Ship it. Own it."" is being disrupted. In this talk, I will explore how agentic AI is changing the software development lifecycle and what happens when AI “owns” large portions of the pipeline.
Code development, operational knowledge and even incident response are increasingly being delegated to AI systems, but that doesn't guarantee infallibility! What happens when it breaks and nobody has seen the code before?
I will examine how AI is already changing both software engineering and SRE practices, where the advances are effective and where human expertise remains critical. I will challenge you to rethink how we do service ownership, what skills are required for SREs in the agentic age, and how to collaborate with AI to ensure resilient, trustworthy systems.
Is the DevOps revolution over, or are we simply at its next frontier?",,"Ralph Bird is a Principal ML Engineer at PagerDuty, focused on AI agents, LLM observability, and production-grade AI systems. Previously an astrophysics researcher at [UCLA](https://www.ucla.edu?utm_source=chatgpt.com) and a nuclear safety engineer at [Rolls-Royce](https://www.rolls-royce.com?utm_source=chatgpt.com), he now builds autonomous AI systems for high-stakes incident response and reliability workflows. Ralph combines deep technical expertise across machine learning, distributed systems, and software architecture with a strong background in research and engineering leadership."
,confirmed,Tiago Costa,1,1,Azure Cloud & AI Architect and Advisor,Tiago Costa.png,https://www.linkedin.com/in/tiagocosta/,,,,Reliability Patterns for AI-Powered Apps in Azure AI Foundry,"AI applications promise transformative capabilities but introduce unique failure modes, such as hallucinations, latency spikes, data drift, and cost overruns, that traditional SRE practices don't fully address. This session explores proven reliability patterns, retries with exponential backoff, circuit breakers, graceful degradation, and human-in-the-loop guardrails tailored for Microsoft Foundry workloads, where observability covers agent traces, quality metrics, and safety evaluations. You'll see live demos of implementing these in Foundry projects using zone-redundant storage, multi-region failover, and built-in content filters to achieve production-grade resilience while maintaining trust and compliance.",,"Tiago Costa is an Azure Cloud and AI Architect, advisor, trainer, public speaker, and author based in the Lisbon Metropolitan Area. As an independent contractor, he helps organizations design and optimize cloud and AI strategies, with a strong focus on Microsoft Azure technologies. He is also recognized for educating technical audiences through training, speaking engagements, and thought leadership."
,confirmed,David Jacovkis,1,1,Sateliot,David Jacovkis.png,https://www.linkedin.com/in/dvdjaco,,,,DevOps in Space: Lessons from Low Earth Orbit,"Remember when you knew all your servers by name and deployed changes with a single SSH command? Now imagine doing that when your link comes in 10-minute windows every few hours, and bandwidth is a precious commodity measured in kbps. Welcome to DevOps in Space. At Sateliot, our Infrastructure & Software Engineering team works at the intersection of aerospace, telecommunications and software. We build modern distributed systems and then send them to an environment where normal expectations -low latency, immediate feedback, up-to-date systems- simply don’t apply. In this talk I’ll give a high-level tour of the challenges that make space and telco different: intermittent and low-bandwidth connectivity, long feedback loops, constrained devices, and the cultural gaps between aerospace, telco and software teams. I'll also share some adaptations that allow us to apply some of the DevOps processes and tools that have become industry standards.",,"I started as a sysadmin when workloads ran on bare metal and Devs were the enemies of Ops. The industry changed and we changed with it, but at the end of the day we're still the ones that receive an alert when things stop working."
,confirmed,Vasil Kulakov,1,1,"Team Lead, SRE",Vasil Kulakov.png,https://www.linkedin.com/in/vasiliy-kulakov/,,,,Scaling an AI Bot in the Age of Blockages,"Scaling an AI bot is hard. Scaling one through regional blockages is harder. A production language tutor's journey from one pod to a multi-tenant platform — every wall we hit, in the order we hit them.In this talk, we’ll go through the practical side of building production-ready LLM systems. We’ll cover how to choose the right models for different tasks, manage context windows without losing coherence, design reliable prompting strategies, and avoid common pitfalls like prompt injection and malformed outputs. The session also explores structured outputs, hybrid memory approaches, feature-based model routing, and ways to build abstractions that work across multiple AI providers.
Rather than focusing on hype, this lecture is about the engineering tradeoffs behind shipping AI products that are fast, affordable, maintainable, and reliable in production.
Expect practical examples, architecture patterns, code snippets, and lessons learned from building real-world LLM workflows beyond the prototype phase.",,"Vasil Kulakov is a Staff Engineer in Site Reliability Engineering with a strong focus on building and scaling production infrastructure. Currently at snappyloop.work, he has helped establish the backbone for an AI-driven language learning platform, supporting rapid user growth. Previously, he led SRE teams at CHECK24, combining hands-on engineering with leadership across high-performance systems. His work spans Go, PHP, and modern cloud-native tooling, with a practical, execution-first approach to reliability and scale."
,confirmed,Rita Lopes,1,1,Gigapipe,Rita Lopes.png,https://www.linkedin.com/in/rita7lopes/,,,,404: Observability Without Trade-offs Not Found - Until We Built Gigapipe,"Every SRE team knows the drill. Prometheus for metrics. Loki for logs. Jaeger or Tempo for traces. Pyroscope bolted on last for profiling. Four services, four storage backends, four things to scale, debug, and pay for. And when an incident hits, you're jumping between all of them trying to correlate signals that were never designed to live together.The trade-off is always the same: observe everything and pay an astronomical bill, or cut costs and fly blind precisely when it matters most. We got tired of it. So we built Gigapipe. Gigapipe is an open-source polyglot observability stack that unifies logs, metrics, traces, and profiles on a single backend, using ClickHouse as the database. It natively implements the industry standards like Prometheus, Loki, Jaeger, Tempo, Pyroscope, and OpenTelemetry APIs, just to name a few. Your existing agents, exporters, and Grafana dashboards work on day one, unchanged. In this talk, we'll cover three things: 1. Why we built it: the real pain that made four services feel unsustainable, 2. How it works: the architecture decisions behind native multi-protocol compatibility on a single storage engine, 3. How you can get involved or run it yourself today: Gigapipe is open-source, under AGPLv3 license, runs as a single binary, and is live in production environments. This is a talk for engineers who've felt the weight of their observability stack and wondered if there's a better way. Spoiler: There is! And you can run it tonight.",,"I started my career staring at SIP traces at 2am wondering why calls were dropping. I spent years inside telecommunications and real-time communications infrastructure. From those years, I spent a lot of time looking at observability and monitoring tools. So, why not make the switch from the person who stares at those tools to the person who builds them? Joining QXIP (the team behind the coolest and most creative open-source code out there) was even better than I anticipated, because that was the decision that made Gigapipe possible. Why settle for a tool to observe RTC traffic if I can build one that does full-stack observability? And then there was Gigapipe. Gigapipe is an open-source polyglot observability solution: logs, metrics, traces and profiles. Your data, your infrastructure, your rules. Made by engineers for engineers. I still read the SIP traces. Old habits. MSc in Electrical and Computer Engineering. Certified in many things (I'm a sucker for certifications). Permanently curious."
,confirmed,Mauro Morales,1,1,Spectro Cloud,Mauro Morales.png,https://www.linkedin.com/in/mauromorales/,,,,From Boot to Rollback: How Image-Based Operating Systems Change Kubernetes Operations,"You replace pods instead of patching them. So why is the OS underneath your nodes still the last hand-patched snowflake in an otherwise declarative stack? Image-based operating systems turn nodes into versioned artifacts that can be upgraded and rolled back predictably, reducing drift and making failure recovery part of the platform design rather than an incident-time improvisation. As a Kairos maintainer, I will show how this model works in practice: what remains immutable, what persists, how atomic upgrades and rollback work, and what happens when a node fails to boot. We will then use Kubernetes to drive an upgrade and rollback of an immutable node. Because application reliability is difficult enough without discovering during an incident that no one knows exactly what the node underneath it has become.",,"Mauro Morales is a Staff Engineer at Spectro Cloud working on Linux systems designed for cloud-native and edge platforms. His focus is on the operating system layer — building foundations that allow Kubernetes environments to run securely, predictably, and with minimal operational friction. He is a maintainer of the CNCF Sandbox project Kairos, co-host of the Cloud Native Brussels community group, and a member of the TAG Workloads Foundation. Originally from Guatemala, he now lives in Belgium with his family."
,confirmed,Helia Barroso & Iris Dyrmishi,1,1,Five9 & Miro,Helia Barroso & Iris Dyrmishi.png,https://www.linkedin.com/in/heliabarroso/,https://www.linkedin.com/in/iris-dyrmishi/,,,Observability Through Users' Eyes and How to Fix the Knowledge Disconnect,"Logs, metrics and traces nowadays are common words in every engineer's vocabulary, as Observability is everywhere with the rise of OpenTelemetry and improved standards. Instrumentation? No problem. Getting data from any system? Done. But then soon after, things start to fall apart, telemetry piles up unused, cloud bills soar, dashboards rot and alerts confuse even seasoned engineers. Clearly there is something missing. In this talk, Iris and Hélia share some experiences from building Observability platforms, patterns they have discovered of how users interact with telemetry data. From common questions across different teams and companies, pitfalls and also, strategies that empower teams to move from confusion to confidence. So get practical insights to bridge the gap between Observability data and User Knowledge, whether you're building platforms, supporting teams, or trying to make sense of your own telemetry chaos.",,"DevOps/SRE with a background in Biotechnology and a strong passion for Observability. Maintainer of Prometheus Operator and active contributor to open source projects including Perses. Community organizer for Cloud Native Porto. Curious by nature, always learning and exploring new challenges in the cloud-native ecosystem."
,confirmed,Afgan Isazade,1,1,BNP Paribas,Afgan Isazade.png,https://www.linkedin.com/in/efkan-isazade/,,,,Your SLO is a Random Variable: AI and the Mathematics of Reliability,"Modern production systems do not behave deterministically. Traffic patterns, deployments, infrastructure changes, user behavior, and operational noise continuously shape the reliability of distributed systems. Yet SLIs, SLAs, and SLOs are often treated as fixed numbers rather than probabilistic systems.
This talk explores how statistical and econometric thinking can improve reliability engineering and operational decision-making. Using practical SRE examples, we will examine how concepts such as probability distributions, confidence intervals, z-scores, t-distributions, and seasonal models help explain uptime behavior, latency anomalies, incident frequency, and alert noise.
We will also explore how AI and machine learning are becoming operational layers on top of observability platforms through anomaly detection, time-series forecasting, and intelligent interpretation of telemetry data.
Rather than treating reliability as a static KPI, this session reframes it as a system of statistical inference supported by AI-driven analysis. Attendees will leave with practical ideas for thinking about reliability, alerting, forecasting, and SLO evaluation through the lens of mathematics and modern AI-assisted operations.",,"Afgan Isazade is a Senior Developer at BNP Paribas and a DevOps & Infrastructure Architect specializing in AI/ML, cloud-native platforms, High Frequency Trading (HFT) environments, and large-scale distributed systems. With more than 8 years of experience across fintech, enterprise infrastructure, Big Data, and platform engineering, he works at the intersection of reliability engineering, observability, automation, and intelligent operations."
,confirmed,Tiago Rodrigues,1,1,Tripadvisor,Tiago Rodrigues.png,https://www.linkedin.com/in/tiago-rodrigues-72956321/,,,,How Easter sparked the hunt for villains,"Following Easter 2024, our messaging platform underwent a significant transformation. This presentation explores how an engineering team transitioned from developing a simple messaging product to constructing a phishing detection platform. More importantly, how we adopted a mindset akin to fraudsters, always brainstorming potential attack vectors. Join us at this engineering storytelling session that delves into how Tripadvisor leveraged straightforward tools such as text analysis, domain detection and asynchronous processing to implement a phishing detection capability while maintaining a seamless user experience.",,"Tiago Rodrigues is a Java Developer with more than 15 years of experience. After almost 6 years at TripAdvisor, he decided that just programming wasn't as fun and became the manager of a team of 7 people. And now, between 1:1, planning meetings and - of course - fraudsters, he doesn't have time to code..."
