YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Benjamin Hofmann & Mark Pawlikowski,1,1,,,,,,,Conference Introduction,And practical info,,
,keynote,Benjamin Hofmann,1,1,Hyground,Benjamin Hofmann.png,https://www.linkedin.com/in/benjaminhfm/,,,,"Keynote: How an AI SRE agent can manage 20,000 workloads","IT systems are not neat self-contained boxes with a few components. A single application deployment today has hundreds of moving parts. An IT landscape contains thousands of those applications.

On the other side sit AI agents with vast world knowledge. Like humans they struggle with context overload. They can't possibly keep a whole datacenter in their head at once.

Neither can we. We navigate.

In this talk we'll show how an agent can navigate and operate a system of hundreds of thousands of components, working from a live map of the infrastructure and a connector layer that lets it act on anything the map reveals.

The result: an agent that adapts itself to the landscape it walks into, instead of a bespoke setup for every shape of IT.",,"Benjamin Hofmann is CPO at Hyground, where he focuses on resolving software incidents in minutes and improving operational flow for engineering teams. With a background spanning Testing and Agile methodologies, DevOps, Cloud Native development, and Observability, he brings a cross functional perspective to the full software lifecycle. Based in Rosenheim, Germany, Benjamin is passionate about building impactful technology that enhances productivity, collaboration, and quality for both teams and end users."
,keynote,Michael Harrer,1,1,MaibornWolff GmbH,Michael Harrer.png,https://www.linkedin.com/in/michaelharrermw/,,,,Keynote: Digital Sovereignty Beyond Security: What Platform Teams Need to Decide Now,"Digital sovereignty goes far beyond data protection and IT security. Europe’s digital future currently depends on a small number of global tech providers, bringing risks such as vendor lock-in and geopolitical exposure.

For platform engineering teams, these concerns quickly become practical decisions. Which workloads can run on which platforms? Which dependencies are acceptable? And how meaningful is sovereignty once you move past marketing claims?

This talk examines what digital sovereignty means in real-world platform engineering. It covers the key challenges, the trade-offs teams must navigate, and how organizations can build viable strategies. Drawing on hands-on project experience, it outlines pragmatic approaches to balancing technological capability with independence and compliance.",,"Michael Harrer is Co-Head of the Cloud Sovereignty and Compliance business unit at MaibornWolff. He previously led the DevOps and Cloud Native department for several years.

As a Principal Architect, he focuses on designing cloud platforms that combine technical excellence with responsibility and independence. His work helps organizations translate multi-cloud, data sovereignty, and compliance requirements into sustainable platform strategies."
,keynote,Kyle Hoondert,1,1,Imply,Kyle Hoondert.png,https://www.linkedin.com/in/kylehoondert/,,,,Keynote: Decoupling Observability for Incident Response at Scale,"On-call incidents don’t fail because teams lack dashboards. They fail because observability systems slow down under real investigative load

As telemetry volumes grow and retention windows expand, SRE teams are being asked to run deeper, broader investigations—often under time pressure—on platforms that were designed for steady-state monitoring, not bursty incident response. Tightly coupled observability stacks bind storage, compute, and query together, forcing teams to overprovision infrastructure, limit retention, or accept degraded performance during incidents.

In this talk, we’ll explore why decoupling observability architectures is becoming essential for SRE teams operating at scale. Using a real incident investigation workflow, we’ll break down how separating data storage, compute, and interaction layers allows teams to keep fast, reliable monitoring while elastically scaling investigations when incidents occur.",,"Kyle Hoondert is a Senior Customer Architect at Imply with over 15 years as an experienced solutions architect and Unix/storage administrator, designing, implementing and supporting infrastructure and storage solutions in managed service organisations."
,keynote,Birol Yildiz,1,1,ilert,Birol Yildiz.png,https://www.linkedin.com/in/birolyildiz/,,@birol_yildiz,,Keynote: When Incidents Fix Themselves: AI SRE in action,"The next evolution of incident response isn’t faster alerts, it’s autonomous resolution. Join ilert CEO Birol Yildiz as he shows how AI SRE agents now diagnose and remediate outages without waking anyone up. Learn how these systems combine observability data, deployment context, and code intelligence to restore services in minutes and hand over clean incident reports instead of 3 a.m. pages.",,"Birol Yildiz is the Co-founder and CEO of ilert, adeptly steering the company with a rare combination of technical and product expertise. His prior experience includes a significant role as Chief Product Owner for Big Data products at REWE Digital. With a strong foundation in computer science, Birol bridges the gap between developer and product strategist, constantly striving to innovate and provide customer-centric solutions at ilert."
,confirmed,Laysa Uchoa,1,1,enmacc,Laysa Uchoa.png,https://www.linkedin.com/in/laysauchoa/,,,,The LLM Said What?! A Survival Guide,"LLMs are confident liars. We will start with a true story about an internet meme, and an AI that learned exactly the wrong lesson, and use it to explain why hallucinations happen and how to stop them
This talk walks through a production-ready approach to grounding LLMs in real data using Retrieval-Augmented Generation on OpenSearch. We will compare RAG against fine-tuning and explain why retrieval wins for fact-based use cases. We will dig into hybrid search, combining BM25 lexical scoring with k-NN vector search, and show how to tune the normalization and weighting that ties them together. We'll spend real time on chunking strategies because chunking is where most RAG projects quietly fail. Finally, we will introduce a three-layer evaluation framework covering retrieval quality, configuration, and answer faithfulness.
You will leave with the mental model that turns RAG from guesswork into engineering.",,"Senior Platform Engineer at enmacc, OpenSearch Ambassador, and PyLadies Munich leader. I spent years as a backend developer, and now I build platforms so other developers do not have to suffer like I did. Multi-cloud by trade, search nerd by choice, continuous learner by habit.



Helping scale Europe‘s leading OTC energy trading platform and driving more transparent, efficient markets for the energy transition."
,confirmed,Poone Mokari,1,1,ewake,Poone Mokari.png,https://www.linkedin.com/in/pmokari/,,,,Production is a wilderness. Treat it like one.,"Production is a wilderness. The terrain shifts every minute, meaning human and agent failures are not caused by missing intelligence. They come from acting on stale context.
Discovery takes time, and in production it is often the most expensive part of the workflow.

In this talk, I show why AI SRE agents fail when they rely on runtime discovery, and what changes when they operate on live context instead of snapshots.

The short version: an AI SRE that admits uncertainty is the only kind you can safely let run.",,"Co-founder and CEO of [ewake](http://ewake.ai/), Poone Mokari builds AI SRE agents grounded in a live system map. Prior to founding ewake, she worked as a Site Reliability Engineer at companies including Criteo, where she gained hands-on experience managing large-scale production systems and incident response."
,confirmed,Stefan Lenz & Michele Dodic,1,1,Siemens,Stefan Lenz & Michele Dodic.png,https://www.linkedin.com/in/stefan-lenz-932899168/,https://www.linkedin.com/in/michele-dodic/,,,Designing Your Custom-Fit Observability Launch,"More and more organizations are realizing that observability is the missing piece in how they deliver and operate digital products: teams get pulled into firefighting, troubleshooting stays siloed, and leaders lack a clear line from system behavior to business outcomes.  In this talk, we share first-hand experience designing an organization-wide observability rollout in a complex environment—guided by SRE principles and treating reliability as a product. Rather than starting with a mass, technology-first onboarding, we start from business objectives and a clear value proposition. These are then translated into clear requirements, which are used to select an observability platform that matches your custom need, scale, and constraints.  We then show how to define the right level of onboarding based on your product portfolio, and how to align early with product and delivery stakeholders so expectations, ownership, and priorities are clear from day one. You’ll learn a practical approach to structuring service onboarding across business, application, and infrastructure layers to achieve end-to-end visibility and correlation across services and domains—where the most valuable insights emerge.  Finally, we cover how to enable engineering teams early and set up an operating model with shared goals, shared responsibility, and dedicated roles to drive adoption at scale.   Our goal is to provide attendees a repeatable blueprint to design an observability launch that fits their organization.",,"**[Stefan Lenz](https://www.linkedin.com/in/stefan-lenz-932899168/)** is an experienced IT Solution Architect at Siemens with nearly three decades of experience in designing and delivering enterprise technology solutions. He specializes in cloud computing, virtualization, and IT-driven services, with a strong focus on helping organizations achieve business outcomes through scalable, efficient architectures. With a background spanning project management, SaaS, and service processes, Stefan combines deep technical expertise with strategic insight to drive digital transformation initiatives.

**[Michele Dodic](https://www.linkedin.com/in/michele-dodic/)** is an Observability Manager at Siemens Mobility, leading an enterprise-wide observability rollout. As a solution architect and active member of several SRE and DevOps communities, he promotes SRE principles, practices, and culture to help teams improve reliability and operational efficiency. Michele regularly shares his insights as a public speaker at conferences including Splunk .conf, Dynatrace Perform, All Day DevOps, ChaosCarnival, Conf42, and other industry events."
,confirmed,Josh Lee,1,1,Altinity,Josh Lee.png,https://www.linkedin.com/in/joshuamlee/,,,,OpenTelemetry: Playtime Is Over,"So you finally got your organization to invest in OpenTelemetry. You carefully evaluated observability backends and picked the perfect one. Everything is awesome. Then twelve months later, your costs have skyrocketed and you can’t explain why. What happened? This talk examines how to emit meaningful telemetry while keeping costs under control, by exploring the following: - What to actually instrument - Which metrics to focus on - Pipeline efficiency with OTel Arrow Applying sampling, filtering, and intentional instrumentation to cut down on noise Schema management and validation with tools like Weaver We’ll review the ingredients of a mature observability implementation with OpenTelemetry: one that grows with you instead of overwhelming you. You’ll learn how to apply cost-effective techniques to achieve meaningful observability. Speaker Notes (visible to organizers only) As more organizations embrace OpenTelemetry and mature their Observability practice, we find ourselves coming out of that Observability and OpenTelemetry ""honeymoon period"". We've gone from, “We’re using OpenTelemetry, therefore we have Observability” to ""How do we actually make this work for us?"" This talk will equip organizations to build a sustainable and long-lasting observability practice built on OpenTelemetry.",,"As more organizations embrace OpenTelemetry and mature their Observability practice, we find ourselves coming out of that Observability and OpenTelemetry ""honeymoon period"". We've gone from, “We’re using OpenTelemetry, therefore we have Observability” to ""How do we actually make this work for us?"" This talk will equip organizations to build a sustainable and long-lasting observability practice built on OpenTelemetry."
,confirmed,Chiara Dellantonio,1,1,Google,Chiara Dellantonio.png,https://www.linkedin.com/in/chiara-dellantonio-229701132/,,,,Agents in Action: How Google is Automating Operational Toil,"Imagine an Oncall shift where you don’t start your day sifting through routine capacity alerts, nudging stuck rollouts, or closing noisy, low-impact tickets. Instead, you get to tackle things that matter. This is the goal we’re chasing at Google.

We are developing a system where software agents can autonomously handle a significant chunk of operational toil. The key is to do this generically and horizontally, making the solutions broadly applicable crossing the lines between developers and operations.

In this session, I’ll share our journey and lessons learned. We’ll cover the significant challenges, including evaluation, ensuring safe and secure operations, and how to codify complex, sometimes opinionated, remediation steps. I’ll outline the infrastructure we’ve put in place due to those challenges and requirements.

This talk aims to provide a practical perspective on leveraging automation and agents in a production environment. You’ll leave with critical questions to consider for your own agent that interacts with production.",,"Chiara Dellantonio is a Site Reliability Engineer at Google based in Munich, Germany. She has over 7 years of experience in software engineering and SRE, previously working in Dublin and Italy across backend and infrastructure-focused roles. Chiara holds degrees in Mathematics from the University of Padua and University of Trento, with a background spanning Java, SQL, and large-scale production systems. "
