YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.

In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.

You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,keynote,Ben Hopp,1,1,Imply,Ben Hopp.png,https://www.linkedin.com/in/benhopp/,,,,Keynote: Decoupling Observability for Incident Response at Scale,"On-call incidents don’t fail because teams lack dashboards. They fail because observability systems slow down under real investigative load.

As telemetry volumes grow and retention windows expand, SRE teams are being asked to run deeper, broader investigations—often under time pressure—on platforms that were designed for steady-state monitoring, not bursty incident response. Tightly coupled observability stacks bind storage, compute, and query together, forcing teams to overprovision infrastructure, limit retention, or accept degraded performance during incidents.

In this talk, we’ll explore why decoupling observability architectures is becoming essential for SRE teams operating at scale. Using a real incident investigation workflow, we’ll break down how separating data storage, compute, and interaction layers allows teams to keep fast, reliable monitoring while elastically scaling investigations when incidents occur.

We’ll connect these patterns to lessons learned in other data-intensive systems, but stay grounded in the day-to-day realities of on-call life: faster root cause analysis, fewer tradeoffs during incidents, and observability systems that hold up when you need them most.",,"Ben Hopp is an Architect at Imply, where he helps organizations decouple their observability stack with Imply Lumi. Based in Denver, Ben brings an extensive background in real-time data systems and observability, having worked on some of the world's largest data platforms. He specializes in helping teams break free from legacy observability stacks, enabling them to retain flexibility and control over their observability data while reducing costs and complexity."
,confirmed,Bryan Patton,1,1,Xurrent,Bryan Patton.png,https://www.linkedin.com/in/bryan-patton-ed-d-mba/,,,,"The ""Supply Chain"" Mindset: Why I hire Logistical Engineers, Not Just SREs","This talk covers how we hire and run SRE, DevOps, and TechOps teams by treating infrastructure like a supply chain. Looking at systems this way makes bottlenecks, risk, and capacity limits easier to see before they cause outages.
I’ll explain what we look for when hiring, how we expect engineers to operate day to day, and how this approach helps us define the right metrics early instead of after incidents.",,"Bryan Patton is Director of Site Reliability and TechOps at Xurrent, where he leads global reliability engineering, operational excellence including architecture and performance monitoring, and incident response practices for modern cloud environments.

Bryan previously directed a high-performance ecosystem engineered to handle massive surges in real-time sports data, consistently managing traffic loads exceeding millions of requests per second. He oversaw the scaling of cloud-native systems and low-latency databases to ensure 99.9% uptime during peak global sporting events, where millisecond-level precision is critical for user engagement. By implementing robust automated scaling protocols and optimizing distributed cache layers, they successfully balanced extreme throughput with system resilience and cost-efficiency in a high-stakes, data-intensive environment."
,confirmed,Scott McAllister,1,1,Depot,Scott McAllister.png,https://www.linkedin.com/in/stmcallister/,,,,Unlocking CI Performance in the Age of Agentic Development,"Agentic development is changing how fast your team ships — and your CI pipeline is feeling it. More PRs, bigger diffs, more frequent builds. The bottlenecks that used to be minor annoyances are now real blockers. Queue times, cold starts, and network overhead add up fast when your developers are pushing code at a pace that wasn't possible a year ago. In this session, I'll show you how to look beyond reported build times and find where your pipeline is actually spending its minutes. You'll learn practical techniques for identifying bottlenecks, measuring what matters, and prioritizing the fixes that deliver real impact. I'll share examples from production pipelines where small changes led to big improvements — and explain why optimizing CI is one of the highest-leverage things you can do to get the most out of AI-assisted development. Faster CI means faster feedback loops, happier developers, and more deploys per day.",,"Scott McAllister is a Principal Developer Advocate for Depot. He has been building software in several industries for over a decade. Now, he's helping others learn about various software development, delivery, and infrastructure principles. When he's not coding, writing, or speaking, he enjoys long walks with his wife, skipping rocks with his kids, and is happy whenever Seattle Sounders FC, Manchester City, St. Louis Cardinals, Seattle Mariners, Chicago Bulls, Seattle Storm, Seattle Seahawks, Seattle Reign FC, Seattle Kraken, Malaga, Fiorentina, Borussia Dortmund or Mainz 05 can manage a win."
,confirmed,Keerthi Sreenivas,1,1,AWS,Keerthi Sreenivas.png,https://www.linkedin.com/in/keer718/,,,,AI DevOps Agents: How AI Agents Are Transforming SRE ,"Site Reliability Engineering (SRE) is undergoing a major shift from manual operations and rule-based automation to intelligent, AI-driven workflows. AI DevOps agents are emerging as powerful assistants that can understand system behavior, analyze large volumes of telemetry data, and actively support engineers in maintaining reliability at scale.
In this session, we explore how AI agents are transforming incident detection and root cause analysis to automated remediation and system optimization. Leveraging advances in large language models and integrations across observability and deployment systems, these agents can interpret logs, correlate metrics, and recommend actionable solutions in real time.",,"Keerthi Sreenivas is a Agentic AI Specialist Solutions Architect at AWS, with over 4 years of experience spanning AI infrastructure, developer experience, and large-scale systems. Previously an Infrastructure Engineer at Barclays, she brings a strong systems-first perspective to modern AI. Keerthi runs @qriositybykeerthi, an edu-tech Instagram platform with over 20k followers, where she simplifies AI for a broad audience. She is an AWS re:Invent 2025 speaker, the author of three AWS blogs, and holds 8 certifications across AWS and NVIDIA."
,confirmed,Sameera Jayasoma,1,1,WSO2,Sameera Jayasoma.png,https://www.linkedin.com/in/sameerajayasoma/,,,,Building Abstractions That Matter: A Developer Platform on Kubernetes,"Kubernetes gives us powerful primitives, but a collection of primitives does not automatically become a developer platform. Platform teams are often left stitching together CI systems, GitOps, portals, observability stacks, and policy engines, only to expose the resulting complexity to developers.

This talk shares the architectural thinking behind OpenChoreo, an open-source, modular platform that introduces higher-level abstractions on top of Kubernetes and other CNCF projects. I'll walk through how OpenChoreo separates concerns using control, data, CI, and observability planes, and how this approach reduces developer cognitive load while preserving strong governance for platform engineers.

You'll learn how to design meaningful abstractions, when to hide and when to expose Kubernetes primitives, and how to balance developer experience with platform control. OpenChoreo brings together development workflows, a Backstage-powered portal, CI/CD, GitOps, and observability without turning Kubernetes into a developer-facing API.If you're building or struggling with an internal developer platform, this talk is for you.
",,"Sameera Jayasoma is VP and Distinguished Engineer at WSO2, where he leads the architecture of the OpenChoreo and Ballerina platforms. Based in the Seattle area, he is a passionate software engineer focused on building scalable systems, mentoring teams, and contributing to the developer community."
,confirmed,Sichen Zhao,1,1,ClickHouse,Sichen Zhao.png,https://www.linkedin.com/in/sichen-zhao-64903164/,,,,Simple cloud data transfer cost monitoring - Kubenetmon,"Have you set up your k8s following all the best practices on multi-AZ, redundancies and later found thousands of dollar bill from AWS on data transfer and wondering where it's coming from? Have you dived into k8s, pods and networking, trying to figure out how to monitor the exact amount of traffic each pod has for inter/intra AZ? In ClickHouse, we built a simple open source tool - kubenetmon - to monitor this. In this talk, we will introduce you to this tool, how it works, how to set it up, and more.",,"Software manager - Senior software developer in ClickHouse Inc. Previously, Sichen was in AWS contributing to AWS RDS and building AWS Kendra services from ground up. In ClickHouse, Sichen has built ClickHouse cloud on AWS, GCP and Azure, plus many cool features including ClickPipes, cellular architecture, and compute compute separations on cloud."
,confirmed,Nishkarsh Raj,1,1,StatusNeo,Nishkarsh Raj.png,https://www.linkedin.com/in/nishkarshraj/,,,,Q the Savings: How We Built a $2M/Year FinOps Platform in 2 Weeks,"We built a AI FinOps platform in 2 weeks with Kiro and AWS Bedrock that found $2M in annual AWS waste— without buying expensive tools. 13 automated scanners, gamified leaderboards, AI recommendations, and one-click cleanup. I'll show you exactly how we did it and how you can too.",,"Nishkarsh is a DevSecOps expert and an International GitHub Star. Nishkarsh is an ardent supporter of open-source, GitHub, DevEx, and DevOps. Nishkarsh serves as StatusNeo Inc.'s Principal Evangelist & Consultant. Over the years, he has been actively GitHubbing and contributing to open-source. By giving talks at conferences, organizing meetups, and encouraging people to take on the #100DaysofCode challenge, he has encouraged many brilliant minds to embark on their journeys in open-source projects and preach the significance of collaboration to aspiring developers."
,confirmed,Peter De Tender,1,1,Microsoft,Peter De Tender.png,https://www.linkedin.com/in/pdtit/,,pdtit,,Agentic DevOps with GitHub Copilot,"GenAI is oldskool, only 3 years after OpenAI launched ChatGPT. If you're still running prompts, you're missing out on the power of AgenticAI. And yes, this means Agentic DevOps as well...",,"Peter has +25 years experience in Microsoft datacenter technologies. Since early 2012, Peter started shifting to cloud technologies, and quickly jumped onto the Azure platform, working as cloud solution architect and trainer. Mid 2019, Peter took on a position as Azure Technical Trainer within Microsoft Corp, providing Azure Readiness Workshops to larger customers and partners within the EMEA Region and global, with a focus on Architecting and DevOps. 

Peter was an Azure MVP for 6 years, is a Microsoft Certified Trainer (MCT) for +12 years and still actively involved in the community as public speaker, technical writer, book author and publisher.

You can follow peter on twitter @pdtit and check his technical blog on http://www.007ffflearning.com 
"
,confirmed,Rob Fulwell,1,1,Epsilon3,Rob Fulwell.png,https://www.linkedin.com/in/robfulwell/,,,,SRE Co-work with Claude - Beyond the IDE,"Claude Code has become the preferred AI tool used by millions of developers to write code at unprecedented velocity. Let's look at the effectiveness of this tool and how it can be safely adapted in the CLI for SRE-specific workflows from standard code and script creation to infrastructure investigation, debugging and modification.",,"Rob Fulwell is a Staff SRE at Epsilon3, where he works on reliability and infrastructure for electronic procedure software used in aerospace and complex operations. With over 20 years of experience spanning Microsoft, Conversica, and consulting, Rob has built a career around making ambitious technical transitions actually work - from early Kubernetes adoption on AWS EKS to leading a company-wide migration onto GitLab as a unified DevOps platform. He holds a number of certifications and is a self-described growth mindset solver/doer who believes the best engineering outcomes depend as much on communication and empathy as on technical depth. When he's not wrangling clusters or CI pipelines, he volunteers his time in service to his Seattle community."
