YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Maxime Brugidou,1,1,Criteo,Maxime Brugidou.png,https://www.linkedin.com/in/maximebrugidou/,,,,Keynote: coming soon...,Coming soon...,,"Maxime Brugidou is VP of Engineering, Platform at Criteo, where he leads large-scale platform and infrastructure engineering teams focused on reliability, scalability, and developer productivity. With a background spanning SRE, distributed systems, and data platforms, he has spent more than 15 years helping build and scale high-performance engineering organizations. Maxime is also active in the AI and cloud-native community, regularly supporting technical meetups and knowledge sharing initiatives in Paris."
,keynote,Peter Marshall,1,1,Imply,Peter Marshall.png,https://www.linkedin.com/in/petermarshallio/,,,,Keynote: Decoupling Observability for Incident Response at Scale,"On-call incidents don’t fail because teams lack dashboards. They fail because observability systems slow down under real investigative load

As telemetry volumes grow and retention windows expand, SRE teams are being asked to run deeper, broader investigations—often under time pressure—on platforms that were designed for steady-state monitoring, not bursty incident response. Tightly coupled observability stacks bind storage, compute, and query together, forcing teams to overprovision infrastructure, limit retention, or accept degraded performance during incidents.

In this talk, we’ll explore why decoupling observability architectures is becoming essential for SRE teams operating at scale. Using a real incident investigation workflow, we’ll break down how separating data storage, compute, and interaction layers allows teams to keep fast, reliable monitoring while elastically scaling investigations when incidents occur.",,"Peter Marshall is an award-winning speaker, technology leader, and community builder with 25 years' experience in data architecture and digital transformation. As Director of Developer Relations at Imply, he leads programs that grow and engage global communities through education, support, and events. With experience across startups, enterprises, and the public sector, Peter brings technical expertise and strategic vision to help organizations leverage real-time data and observability technologies. He holds a BA in Theology and Computer Studies from the University of Birmingham  "
,keynote,Poone Mokari,1,1,ewake,Poone Mokari.png,https://www.linkedin.com/in/pmokari/,,,,Production is a wilderness. Treat it like one.,"Production is a wilderness. The terrain shifts every minute, meaning human and agent failures are not caused by missing intelligence. They come from acting on stale context.
Discovery takes time, and in production it is often the most expensive part of the workflow.

In this talk, I show why AI SRE agents fail when they rely on runtime discovery, and what changes when they operate on live context instead of snapshots.

The short version: an AI SRE that admits uncertainty is the only kind you can safely let run.",,"Co-founder and CEO of [ewake](http://ewake.ai/), Poone Mokari builds AI SRE agents grounded in a live system map. Prior to founding ewake, she worked as a Site Reliability Engineer at companies including Criteo, where she gained hands-on experience managing large-scale production systems and incident response."
,confirmed,Amine Saboni,1,1,Pruna AI,Amine Saboni.png,https://www.linkedin.com/in/amine-saboni/,,,, Scale your GPU workloads with Karpenter and Argo Workflows,"Running ML workloads on Kubernetes can be a burden to manage, especially when the usages tend to diversify. Batch inference will involve different constraints as experimentation, evaluation or serving ML models for user-facing applications.

* How to assign the correct GPUs for each usage ?
* How to scale differently workloads with flexibility ?
* How to efficiently scale down to 0, when no GPUs are needed ?

To answer those questions, we will see in this talk how combine the standard orchestration approach of Argo Workflows with the autoscaling super powers of Karpenter, a tool developed by AWS and given back to the community. We'll dig into the difficulties of scaling GPUs and how Karpenter solves them, with a return of experience of Pruna's computing platform.
",,"MLOps Engineer working at Pruna AI, I am interested in efficient, reliable & robustly beneficial AI. My work is centered around building ML development platforms, and provide relevant tooling to build & deploy robust ML models in applications."
,confirmed,Piotr Zaniewski,1,1,vCluster,Piotr Zaniewski.png,https://www.linkedin.com/in/piotr-zaniewski/,,Piotr1215,,"Three Minutes Up, Thirty Seconds Down: Disposable GPU Clusters for AI Devs","AI developers want a GPU the way they want a kind cluster: kubectl apply and it's there, kubectl delete and it's gone, no console in between. The cloud default punishes that: provisioning latency, sticky nodes, per-tenant security setup. We give developers a kubectl context with an auto-provisioning GPU under it: a T4 or L4 in ~3 minutes, gone in ~30 seconds, zero infra to touch.

Live demo: a dev creates a GPU-template tenant cluster, applies a pod, and a node auto-provisions in GCP. The pod runs, is deleted, the node disappears 30s later. Under the hood is a four-piece contract: tenant Kubernetes for isolated RBAC and node pools; Karpenter for auto-provisioning; an idle policy (consolidateAfter 30s) collapses nodes on idle, not on cluster delete; and a tunnel keeps the experience kubectl-native, not console-native.

We close with the failure modes (Karpenter template/provider drift, NodeProvider creds silently disabled) and the GitOps boundary that keeps multi-team setups intact.",,"An active contributor to OpenSource projects on GitHub, blogger and content creator, focusing on practical, scalable solutions in cloud-native environments. DevOps and Platform Engineering practitioner and advocate. Visit: [cloudrumble.net](cloudrumble.net)"
,confirmed,Daniel Afonso,1,1,PagerDuty,Daniel Afonso.png,https://www.linkedin.com/in/danieljcafonso,,,,Incident Response Reimagined: Accelerating Resolution with AI Agents,"It’s 3:45 AM, and you get paged. Still half asleep, you reach for your laptop. Turns out something is wrong, so you acknowledge the incident and embark on a journey to figure out what is happening, mobilize the right people, and eventually fix the issue. But what if we could make it easier? In this talk, I’ll show how AI agents can help you fast-track triage, coordinate responses, debug problems, and run fixes. To wrap up, I will show how we can go even further and move from merely reacting to incidents to proactively preventing them. In the spirit of shifting left, let’s understand how we can track future incidents our code may cause, right before we commit it!",,"Daniel Afonso is a Senior Developer Advocate at PagerDuty, SolidJS DX team member, Instructor at Egghead.io, and Author of State Management with React Query. Daniel has a full-stack background, having worked with different languages and frameworks on various projects from IoT to Fraud Detection. He is passionate about learning and teaching and has spoken at multiple conferences around the world about topics he loves. In his free time, when he's not learning new technologies or writing about them, he's probably reading comics or watching superhero movies and shows."
,confirmed,Marcos Novelli Harispe,1,1,LoopStudio,Marcos Novelli Harispe.png,https://www.linkedin.com/in/marcos-novelli-harispe-a6339a129/,,,,Beyond Prevention: Mastering Incident Response and Post-Mortems with Ephemeral Environments,"We know Ephemeral Environments (EEs) reduce unexpected errors in production, but what happens when an issue inevitably slips through? In this follow-up to “Making Life Easier for SREs with EEs”, we shift our focus from prevention to the high-pressure world of incident response and post-mortems.
This session explores how EEs can help us become faster firefighters and more effective investigators. We will walk through a live Kubernetes microservice demo to experience how EEs serve as a dual-purpose tool when facing real production failures: first, as a firefighting asset to quickly reproduce and mitigate production failures eliminating the “it only breaks in production” problem; and second, as a time machine to rebuild the exact configuration and code state that triggered the failure for deep debugging and root cause analysis leading to permanent fixes. We will also touch upon common concerns, including how to manage the cost and persistence of these temporary environments in a real-world SRE workflow.",,"Marcos Novelli Harispe is a software engineer specializing in AWS, serverless architectures, and data-driven solutions. He has delivered scalable notification systems, analytics platforms, and automation tools across freelance and full-time roles, with a focus on reliability, efficiency, and measurable business impact."
,confirmed,Eugene Ngontang,1,1,Spitzkop,Eugene Ngontang.png,https://www.linkedin.com/in/nixmind/,,,,Your compliance tool describes the platform. It doesn't run it,"Every regulated org has the same scar: a beautiful governance tool - a CMDB, a compliance tracker, a project portal - that describes what production should look like, sitting next to a real platform that actually runs something else. Two sources of truth. Manual sync. Tickets. Drift.
The compliance team trusts the tool; the SREs trust the cluster; nobody trusts the gap between them. This talk is a field report on closing that gap. Drawing on a teardown of a large enterprise platform and the sovereign platform we're building at SPITZKOP, I'll show how to make the control plane connected to the execution plane: GitOps as the single source of truth, policy-ascode (Kyverno) as the admission backstop, schema-first config generation (CUE) shifting compliance left, and a conformity engine that turns regulatory requirements (NIS2, DORA, EUCS) into executable, attested deployment steps — not Excel rows.
You'll leave with a concrete pattern for making compliance a property of your pipeline, not a parallel universe.",,"Eugène Ngontang is Founder & CTO of SPITZKOP, where he's building ESSINGAN — a sovereign platform-engineering product for regulated and critical workloads. He's spent years operating production-critical infrastructure for large enterprises (PwC, NCR Atleos and others), with a focus on GitOps, platform engineering, confidential computing, and measurable sovereignty. He previously presented sovereign network automation (GitOps + YANG) at FRnOG-42. He works at the intersection of reliability, compliance, and cloud-native engineering."
,confirmed,Francois Le Pape,1,1,Contentful,Francois Le Pape.png,https://www.linkedin.com/in/francois-le-pape/,,,,"Ship Fast, Break Nothing: Auto-Rollback with Cloudflare workers","In this session, I’ll walk through a production rollout system that combines versioned deployments, gradual traffic ramps, error-budget-aware gates, and automatic rollback on the Cloudflare Developer Platform.
We’ll cover the hard parts: defining trustworthy signals, preventing flappy rollbacks, and handling emergency bypass paths safely.  
You’ll leave with concrete patterns to increase deploy frequency while reducing risk and MTTR.",,Senior DevOps/Software Engineer at Contentful. Working with Kubernetes and Cloudflare workers. Focus on Developer Experience and SRE.
,confirmed,Solvik Blum,1,1,Enix,Solvik Blum.png,https://www.linkedin.com/in/solvikblum/,,,,kube-image-keeper: keeping workloads alive when registries fail,"kube-image-keeper [kuik, https://github.com/enix/kube-image-keeper](https://github.com/enix/kube-image-keeper) makes sure that your workloads keep starting even when the upstream registry is down, Docker Hub rate-limits you, or an image tag gets deleted. It’s an open-source Kubernetes image resiliency solution that provides transparent image routing across multiple registries, as well as selective caching and replication of the images used by your workloads into local or external registries. On 100+ production clusters it has saved us countless incidents during registry outages and rate-limit storms, and made node autoscaling actually reliable. The talk covers the concrete usecases it solves, what we got wrong in v1, why we rewrote it as v2, and the edge cases that bit us along the way: mutating webhooks, garbage collection, and keeping the cache honest at scale.",,"With over 15 years of experience in infrastructure and production engineering, Solvik has always worked in highly scalable and business-critical environments.
He has worked at Scaleway and Dailymotion, where he designed, operated and secured large-scale cloud-native platforms, with a strong focus on Kubernetes, bare-metal infrastructure and production reliability.
He has now joined Enix, where he leads Production and Security topics with a pragmatic approach focused on long-term operations, open source, bare metal and cost control."
