YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Stephen Atwell,1,1,Harness,Stephen Atwell.png,https://www.linkedin.com/in/stephen-atwell/,,,,Keynote: Database DevOps: CD for Stateful Applications,"Running stateful applications can provide many of the same advantages as stateless applications. In this talk, Stephen will share some thoughts on managing stateful applications as part of a CD Pipeline so that applications - and the application's data - can be versioned and deployed safely and repeatedly. This talk will discuss managing structural changes to a database as part of a CD process. The talk will dive into automation approaches and tooling for managing data migrations between environments and running database migrations within a CI/CD pipeline. The talk will feature real-world examples where we discuss specific schema migrations, their possible performance impacts and downtime implications. We will demonstrate how a complex migration can be done with 0 downtime. With AI and CI/CD we can provide something better than before: A more testable, repeatable, and open way to deploy stateful applications. This talk features a practical demo of how CD tooling can empower users to automate data migrations within Kubernetes.",,"Stephen Atwell develops products to improve the life of technologists. Currently, he leads Harness’s Database DevOps product. Stephen was a speaker at PASS Data Community Summit in 2025, Kubecon 2024, Postgresconf 2024, Data on Kubernetes Day in 2023, the Continuous Delivery Summit in 2022, CDCon in 2023, 2022 and 2021, and the TBM Conference in 2015.
Stephen started working in IT Operations in 1998 and transitioned to developing software in 2006. Since then he has focused on developing products that solve problems he experienced in his previous roles. Stephen holds a bachelors of Engineering in Computer Science and has worn hats ranging from network administrator, to database administrator, to software engineer, to product manager.
Outside of work, Stephen develops open source garden planning software (https://sourceforge.net/projects/kitchengarden2/ ). He lives in Bellevue, Washington with his wife and dog."
,keynote,Ben Hopp,1,1,Imply,Ben Hopp.png,https://www.linkedin.com/in/benhopp/,,,,Keynote: Decoupling Observability for Incident Response at Scale,"On-call incidents don’t fail because teams lack dashboards. They fail because observability systems slow down under real investigative load.

As telemetry volumes grow and retention windows expand, SRE teams are being asked to run deeper, broader investigations—often under time pressure—on platforms that were designed for steady-state monitoring, not bursty incident response. Tightly coupled observability stacks bind storage, compute, and query together, forcing teams to overprovision infrastructure, limit retention, or accept degraded performance during incidents.

In this talk, we’ll explore why decoupling observability architectures is becoming essential for SRE teams operating at scale. Using a real incident investigation workflow, we’ll break down how separating data storage, compute, and interaction layers allows teams to keep fast, reliable monitoring while elastically scaling investigations when incidents occur.

We’ll connect these patterns to lessons learned in other data-intensive systems, but stay grounded in the day-to-day realities of on-call life: faster root cause analysis, fewer tradeoffs during incidents, and observability systems that hold up when you need them most.",,"Ben Hopp is an Architect at Imply, where he helps organizations decouple their observability stack with Imply Lumi. Based in Denver, Ben brings an extensive background in real-time data systems and observability, having worked on some of the world's largest data platforms. He specializes in helping teams break free from legacy observability stacks, enabling them to retain flexibility and control over their observability data while reducing costs and complexity."
,confirmed,Shubham Srivastava,1,1,Xurrent,Shubham Srivastava.png,https://www.linkedin.com/in/shubham67/,,,,Your Worst Outage Could Be Your Best Customer Experience,"In a world where 100 percent uptime is a myth, how you handle the downtime defines your brand. Most incident response processes are optimized for technical resolution, while customer communication is an afterthought. What follows is a vague status page update 45 minutes into an outage, an internal email to stakeholders titled ""We're Investigating"", and customers refreshing Twitter to figure out what's happening. This talk draws from real-world examples of incident communication done brilliantly and catastrophically and the aftereffects, showing how designing your incident response around the customer experience with timely updates, transparency, proactive channels, and clear ownership turns your worst moments into trust-building ones. See what ""good"" incident communication actually looks like, from the first red alert to the calm green ticks.",,"Shubham Srivastava is a builder at the intersection of AI, venture, and product. Currently a co-founder of a stealth AI startup, he is focused on making hiring more scalable, transparent, and human. He recently completed his Master’s at Carnegie Mellon University, where he concentrated on venture funding and product strategy while actively supporting early-stage startups as a scout and mentor."
,confirmed,Scott McAllister,1,1,,Scott McAllister.png,https://www.linkedin.com/in/stmcallister/,,,,Unlocking CI Performance in the Age of Agentic Development,"Agentic development is changing how fast your team ships — and your CI pipeline is feeling it. More PRs, bigger diffs, more frequent builds. The bottlenecks that used to be minor annoyances are now real blockers. Queue times, cold starts, and network overhead add up fast when your developers are pushing code at a pace that wasn't possible a year ago. In this session, I'll show you how to look beyond reported build times and find where your pipeline is actually spending its minutes. You'll learn practical techniques for identifying bottlenecks, measuring what matters, and prioritizing the fixes that deliver real impact. I'll share examples from production pipelines where small changes led to big improvements — and explain why optimizing CI is one of the highest-leverage things you can do to get the most out of AI-assisted development. Faster CI means faster feedback loops, happier developers, and more deploys per day.",,"Scott McAllister is a developer and educator. He has been building software in several industries for over a decade. Now, he's helping others learn about various software development, delivery, and infrastructure principles. When he's not coding, writing, or speaking, he enjoys long walks with his wife, skipping rocks with his kids, and is happy whenever Seattle Sounders FC, Manchester City, St. Louis Cardinals, Seattle Mariners, Chicago Bulls, Seattle Storm, Seattle Seahawks, Seattle Reign FC, Seattle Kraken, Malaga, Fiorentina, Borussia Dortmund or Mainz 05 can manage a win."
,confirmed,Chenghao Liu,1,1,GoodRx,Chenghao Liu.png,https://www.linkedin.com/in/liuchenghao/,,,,When Every Millisecond Costs Money: SLOs for Revenue-Critical Systems,"In modern AI-driven platforms, latency is not just a performance metric—it directly translates to revenue gain or loss. This talk explores how Service Level Objectives (SLOs) should be redefined when systems sit on the critical path of monetization, such as pricing engines, personalization models, and real-time decision systems.
Drawing from real-world experience building large-scale AI platforms at companies like GoodRx and Meta, I will share failure and recovery stories where milliseconds impacted millions in revenue. We will break down how to design SLOs that align with business metrics (not just uptime), how to detect hidden degradation before revenue drops, and how to build resilient recovery loops across ML and distributed systems.

Attendees will walk away with practical frameworks for:

- Defining revenue-aware SLOs
- Designing observability for AI-driven systems
- Building fail-safe architectures for real-time decision pipelines",,"Chenghao Liu is a senior AI engineer, entrepreneur, and founder of Aivy, an AI infrastructure and customization company backed by the UCLA Venture Accelerator. She has led large-scale AI and distributed systems across leading technology companies including Meta, Amazon, Microsoft, and GoodRx.
At GoodRx, she led AI-powered personalization and pricing systems that supported billions of transactions and contributed to hundreds of millions in revenue impact. Previously, at Meta, she worked on AI infrastructure and monetization systems within the metaverse ecosystem.

Chenghao holds a Bachelor’s degree in Computer Science from the University of Illinois Urbana-Champaign and is currently pursuing an Executive MBA at UCLA Anderson School of Management. Her work focuses on building production-grade AI systems where performance, reliability, and business outcomes are tightly coupled."
,confirmed,Keerthi Sreenivas,1,1,AWS,Keerthi Sreenivas.png,https://www.linkedin.com/in/keer718/,,,,AI DevOps Agents: How AI Agents Are Transforming SRE ,"Site Reliability Engineering (SRE) is undergoing a major shift from manual operations and rule-based automation to intelligent, AI-driven workflows. AI DevOps agents are emerging as powerful assistants that can understand system behavior, analyze large volumes of telemetry data, and actively support engineers in maintaining reliability at scale.
In this session, we explore how AI agents are transforming incident detection and root cause analysis to automated remediation and system optimization. Leveraging advances in large language models and integrations across observability and deployment systems, these agents can interpret logs, correlate metrics, and recommend actionable solutions in real time.",,"Keerthi Sreenivas is a Agentic AI Specialist Solutions Architect at AWS, with over 4 years of experience spanning AI infrastructure, developer experience, and large-scale systems. Previously an Infrastructure Engineer at Barclays, she brings a strong systems-first perspective to modern AI. Keerthi runs @qriositybykeerthi, an edu-tech Instagram platform with over 20k followers, where she simplifies AI for a broad audience. She is an AWS re:Invent 2025 speaker, the author of three AWS blogs, and holds 8 certifications across AWS and NVIDIA."
,confirmed,Richard Boyd & Allen-Michael Grobelny,1,1,HashiCorp & AWS,Richard Boyd & Allen-Michael Grobelny.png,https://www.linkedin.com/in/richard-h-boyd/,https://www.linkedin.com/in/amgrobelny/,,,"Workshop: A Casual Introduction To DevOps, But Make It A Contest","This workshop will teach attendees the basics of DevOps and Infrastructure as Code (IaC) in a fun gamified way that combines learning DevOps fundamentals with making ""line go up"". Attendees will gain hands-on expertise with both AWS and HashiCorp Terraform in a free, safe, and sand-boxed environment. Bring your laptop and a web browser (no additional tools are needed to get started) and leave with tips and tricks that you can immediately apply to your own workflows.",,"**[Richard Boyd](https://www.linkedin.com/in/richard-h-boyd/)** is an entrepreneur and technology executive focused on emerging technologies, including artificial intelligence, cloud infrastructure, and developer platforms. He has founded and led multiple ventures, working at the intersection of innovation and practical application of advanced technologies. Richard is known for his work in building communities and ecosystems around cutting-edge tools, as well as advising organizations on how to leverage AI and cloud technologies to accelerate growth and capability.

**[Allen-Michael Grobelny](https://www.linkedin.com/in/amgrobelny/)** is a technology leader and solutions architect with deep expertise in cloud computing, DevOps, and enterprise transformation. He has a track record of helping organizations design and implement scalable, secure systems while aligning technical strategy with business outcomes. With a background spanning engineering, consulting, and leadership roles, Allen-Michael focuses on driving adoption of modern infrastructure practices, including infrastructure as code, observability, and distributed systems architecture."
,confirmed,Ronald K. Ning,1,1,Google ,Ronald K. Ning.png,https://www.linkedin.com/in/loudest/,,,,What Breaks in Production: Patterns Across Real Systems,"Un-Chaos Engineering - Patterns to Handle Production Issues and making support, on-call, or life easier when your the one tasked to deal with things on fire",,"As a Technical Solutions Engineer and Gemini SME at Google Cloud, Ronald K. Ning acts as a digital therapist for customers tangled up in Kubernetes, AI Hypercompute, and Serverless tech. Previously, he was a Software Engineer for Microsoft Azure, where he worked on IcM, the internal incident paging system famously responsible for waking up on-call engineers at 3:00 AM. Long before Big Tech, Ronald was an African startup founder where he built Travel apps and Agrotech across 20+ countries—proving he can debug infrastructure whether it’s in a server rack or on a literal farm"
,confirmed,Deven Chawla,1,1,Oracle,Deven Chawla.png,https://www.linkedin.com/in/deven-chawla-72711453/,,,,"Beyond Human Speed: Building Autonomous, Self Healing Multi Cloud Security Architectures","The scale and velocity of modern multi-cloud environments have surpassed the limits of manual security operations. To defend against sophisticated cyber threats and ensure continuous data integrity, our architectures must evolve from reactive to autonomous. This session explores the integration of GenAI-driven operations and adaptive multi-cloud security. We will unpack the mechanics of building self-healing architectures that leverage advanced telemetry and structured logging to dynamically detect anomalies and orchestrate real-time remediation. By examining robust, idempotent transaction frameworks and advanced conflict resolution algorithms, we will look at how the next generation of cloud infrastructure will autonomously manage highly sensitive credentials and enforce dynamic Zero Trust perimeters across OCI, Azure, and AWS. Key Takeaways: 1) The role of adaptive algorithms in achieving self-healing cloud architectures. 2) How to build intelligent fallback mechanisms that guarantee system resilience during high-concurrency operations. 3) The future of automated compliance and threat mitigation in heterogeneous environments.",,"Deven Chawla is a Senior Member of Technical Staff at Oracle with over nine years of experience specializing in high-availability multi-cloud architecture and intelligent cloud services. He has engineered large-scale synchronization frameworks and resilient “Dual-Read” patterns across OCI, AWS, GCP, and Azure to ensure 99.99% system availability. Previously, he held engineering roles at Microsoft and Walmart, where he optimized cloud infrastructure and supply chain algorithms. A researcher in AI-driven mental health diagnosis and multi-cloud security, Deven holds four patents and frequently serves as a judge for global AI and coding hackathons. His work focuses on building resilient, scalable, and secure cloud systems for mission-critical enterprise environments."
,confirmed,Maxwell Myers,1,1,Microsoft,Maxwell Myers.png,https://www.linkedin.com/in/maxwellmyers1/,,,,Killing the Cloud Sandbox: Secure AI Agents on WebAssembly,"Are your AI agents generating untrusted code, forcing you to spin up slow, expensive Docker containers or microVMs just to safely execute it? Have you looked at your AWS compute bill and realized that scaling agentic coding loops in the cloud is financially unsustainable? At LILO, we bypassed the cloud tax entirely by building a zero-cost execution engine using WebAssembly. In this talk, we will pop the hood on this architecture, showing you how to push compute to the edge for microsecond cold starts, mathematically proven memory isolation, and a zero-dollar infrastructure bill.",,"Maxwell Myers is the CEO and Co-Founder of Pathion, an EdTech startup powered by a proprietary WebAssembly Execution-as-a-Service infrastructure, and a Software Engineer on the Microsoft Edge team. Drawing on his expertise in browser infrastructure and developer-facing APIs, he built Pathion's zero-cost, zero-latency edge execution environments. He specializes in cloud architecture, telemetry, and scaling secure, on-device sandboxes."
